CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
13.598.226/0001-88;2024-12-31;1;PRES KENNEDY;70752;ID 193 MATRICULA 23477;0.2362;0.1564
13.598.226/0001-88;2024-12-31;1;CONEGO DOMENICO, GUARUJA;100500;ID 248 MATRICULA 108172;0.059;0.039
13.598.226/0001-88;2024-12-31;1;RUA ARAÇAÍBA, 149;500;ID 264 MATRICULA 66593;0.0136;0.009
13.598.226/0001-88;2024-12-31;1;RUA ARAÇAÍBA, 139;250;ID 265 MATRICULA 66576;0.0107;0.0071
13.598.226/0001-88;2024-12-31;1;RUA ARAÇAÍBA, 140;250;ID 266 MATRICULA 274002;0.0095;0.0063
13.598.226/0001-88;2024-12-31;1;RUA RIBEIRO DO VALE, 222;66.2;ID 336 MATRICULA 66600;0.0006;0.0004
13.598.226/0001-88;2024-12-31;1;RUA BENTO QUIRINO, 727;1280;ID 42 MATRICULA 13616;0.0096;0.0064
13.598.226/0001-88;2024-12-31;1;RUA MANDU, 382;720;ID 86 MATRICULA 47492;0.0091;0.006
13.598.226/0001-88;2024-12-31;1;AV WASHINGTON LUIS;100;ID 23 MATRICULA 53617;0.0015;0.001
18.950.957/0001-64;2024-03-28;1;Rua Francisco Cervi - Brusque - SC;52362.7;Terreno;0.0163;0.0005
19.722.048/0001-31;2024-03-31;1;Não possui informação apresentada.;;;;
19.722.048/0001-31;2024-06-30;2;Não possui informação apresentada.;;;;
19.722.048/0001-31;2024-09-30;2;Não possui informação apresentada.;;;;
19.722.048/0001-31;2024-12-31;1;Não possui informação apresentada.;;;;
24.514.406/0001-50;2024-03-31;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.514.406/0001-50;2024-06-30;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.514.406/0001-50;2024-09-30;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.514.406/0001-50;2024-12-31;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;55449.4;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;;
24.796.967/0001-90;2024-03-31;1;Não possui informação apresentada.;;;;
24.796.967/0001-90;2024-06-30;2;Não possui informação apresentada.;;;;
24.796.967/0001-90;2024-09-30;1;Não possui informação apresentada.;;;;
24.796.967/0001-90;2024-12-31;1;Não possui informação apresentada.;;;;
28.548.288/0001-52;2024-12-31;1;OBRAMAX _SAOGONÇALO;18657.8;n/a;0;0
30.492.505/0001-81;2024-06-30;1;R. Vitorino Fernandes, s/n - Barra da Tijuca - Rio de Janeiro;1916;Área situada à Rua Vitorino Fernandes, lado ímpar, na freguesia de Jacarepaguá, esquina com a Av. Alfredo Baltazar da Silveira. Objeto da matrícula 428076 do 9° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.102341;0.037263
30.492.505/0001-81;2024-06-30;1;Av. Pres. Vargas Lote 1 Quadra A7 PAL 41941 - Cidade Nova - Rio de Janeiro;1981.28;Objeto da matrícula RGI 28885-41411 do 2° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.292937;0.106659
30.492.505/0001-81;2024-12-31;1;Av Rodrigues Alves, 733 - Sto CristoRio de Janeiro - RJ;4737.45;Matrícula nº 103.057 - 2° Ofício de  Registro de Imóveis do Rio de Janeiro - RJ - Imóvel Urbano - Terreno;0.293897;0.108898
32.903.621/0001-71;2024-09-30;1;Bairro Fazenda Velha, município de Araucária - PR;92744;N/A;0.0148;0.0162
35.725.659/0001-90;2024-12-31;2;SERVIDAO PMG 903;2451.35;Matrícula 14.111;0.0181;0.0183
36.258.924/0001-30;2024-12-31;3;IMOVEL -TERRENO BELEM;;TERRENO BELEM;0.1272;1.7131
36.258.924/0001-30;2024-12-31;3;IMOVEL BENFEITORIAS;;Benfeitorias - TERRENO;0.0306;0.4125
36.312.025/0001-78;2024-03-31;1;Rua Halfeld, Nº 770, município de Juiz de Fora, estado de Minas Gerais, região sudeste do Brasil;6436;Matrícula nº 68.714, Livro 2 - 3º Ofício de Registro Imóveis de Juiz de Fora/MG;0;0
36.930.464/0001-44;2024-12-31;1;Avenida Eugênio Coneglian, N.º 3.550, Distrito Industrial, Marília/SP;30202;Imóvel de matrícula N.º 74.376 do 2º Oficial de Registro de Imóveis da Comarca de Marília, Estado de São Paulo, sendo a FAZENDA MARIALVA DE CIMA - ÁREA DESMEMBRADA 01 - DESDOBRO 2, situada em Marília-SP.;0.246;0
36.930.464/0001-44;2024-12-31;1;Avenida Eugênio Coneglian, N.º 3.550, Distrito Industrial, Marília/SP;106800;Imóvel de matrícula N.º 38.516 do 2º Oficial de Registro de Imóveis da Comarca de Marília, Estado de São Paulo, sendo a FAZENDA MARIALVA DE CIMA - ÁREA REMANESCENTE "C4", situada em Marília-SP.;0.754;0
39.714.024/0001-48;2024-09-30;1;Rua Camboriú - Joinville/SC;3878.9;Terreno urbano, objeto da matrícula 49.642, situado na Rua Camboriú, distante 71,71 metros da Rua Desembargador Nelson Nunes Guimarães.;1;0.007679
40.054.838/0001-82;2024-03-31;1;Não possui informação apresentada.;;;;
40.054.838/0001-82;2024-06-30;2;Não possui informação apresentada.;;;;
40.054.838/0001-82;2024-09-30;1;Não possui informação apresentada.;;;;
40.054.838/0001-82;2024-12-31;1;Não possui informação apresentada.;;;;
43.671.250/0001-66;2024-06-30;1;Av. Rotary, 710 - S/Nº (Industriais);3068.05;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.993;0.0889;0.0753
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 2);1705.25;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.994;0.0404;0.0418
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 3);1660.25;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.995;0.0394;0.0407
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 4);1630.5;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.996;0.0387;0.04
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 5);1745.75;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.397;0.0414;0.0428
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 6);2012.25;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.398;0.0477;0.0494
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Oliveita (Lote 7);2301;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 33.999;0.0546;0.0565
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 8);1365;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.000;0.0324;0.0335
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 9);1365;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.001;0.0324;0.0335
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 10);1725;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.002;0.0409;0.0423
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 11);1725;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.003;0.0409;0.0423
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 12);2066.25;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.004;0.049;0.0507
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 13);2175;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.005;0.0516;0.0534
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 14);2107.5;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.006;0.05;0.0517
43.671.250/0001-66;2024-06-30;1;Av. C. F. Endres (Lote 15);3028.1;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.007;0.0718;0.0743
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 18);2407.5;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.010;0.0685;0.0591
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 19);1851.07;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.011;0.0467;0.0454
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 20);1945.5;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.012;0.0617;0.0477
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 21);1502;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.013;0.0381;0.0369
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 22);1519;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.014;0.036;0.0373
43.671.250/0001-66;2024-06-30;1;Rua Eng. C. Olivetti (Lote 23);1227;O terreno está situado na cidade de Guarulhos e é constituído por uma quadra. Matrícula 34.015;0.0291;0.0301
44.002.561/0001-03;2024-03-31;1;R Joao Bettega 4470;22131;Matricula 16.805;1;0.0476
44.002.561/0001-03;2024-03-31;1;R Visconde Ma;24000;Matricula 8.426 - Lotes 31, 32, 33, 34, 7, 3;1;0.0477
44.584.965/0001-44;2024-03-31;1;Rua Pe. Bernardino Pessoa nº 595 - Boa Viagem;12313.5;NUMEROS 16,32, 46,;0.4277;1.3983
44.584.965/0001-44;2024-03-31;1;R. Cônego Amaral Mello, 116 - apartamento 62, Bloco D - Casa Verde, São Paulo/SP, CEP: 02513-030;452.7;MATRICULA RGI 173.743;0.2129;0.6959
44.584.965/0001-44;2024-03-31;1;Rua Jose Nobre s/n Vila Maria;215.75;MATRICULO 54799;0.3577;1.1693
44.584.965/0001-44;2024-09-30;1;Av. Miramar n840 Jardim Brasil, Caraguatatuba, São Pauloo-SP;500;Caranguatatu;0.0407631613853507;0.0394
44.584.965/0001-44;2024-12-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;0;Aracilia matricula 11.529;0.0638072806194535;0.0638072806194535
44.584.965/0001-44;2024-12-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;0;Aracília matricula 58.931;0.0321032886822588;0.0321032886822588
44.584.965/0001-44;2024-12-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;0;Aracília matricula 101.52;0.0321032886822588;0.0321032886822588
44.585.121/0001-18;2024-03-31;1;Avenida Bento de Abreu, 1.115, Jardim Primavera, Araraquara - SP, CEP 14.802-396;954.07;matrícula de n.º 70.592 - predio;1;4.0201
44.585.121/0001-18;2024-03-31;1;Avenida Bento de Abreu, 1.115, Jardim Primavera, Araraquara - SP, CEP 14.802-396;1871.58;matrícula de n.º 70.592 - terreno;1;4.3836
44.669.674/0001-59;2024-06-30;1;118984_237 - Avenida Henrique Gonçalves Batista, 237 - Jardim Belval;2444.75;Matrícula: 118.984 . Oficial de Registro de Imóveis de Barueri/SP;0.0414904879509462;1.46
50.255.690/0001-06;2024-12-31;1;MAT16410;1196.98;Matrícula 16.410;0.2;0
50.255.690/0001-06;2024-12-31;1;MAT18069;1171.07;Matrícula 18.069;0.2;0
50.957.247/0001-79;2024-03-31;1;CAMPO DE SANTANA;63045.9;Matrícula nº 78.182;0;0
50.957.247/0001-79;2024-03-31;1;ESTRADA DO GANCHINHO;39639.2;Matrícula nº 232.654;0;0
50.957.247/0001-79;2024-06-28;1;XV NOVEMBRO - RIO NEGRO;;MATRICULA: 10967;0;0
51.295.092/0001-15;2024-06-30;1;Rua joão Godoi - Ribeirão Preto;1250;Terreno Lado impar Matricula 123.024;0.1278;0.4718
51.295.092/0001-15;2024-06-30;1;Vila Everest - Jaguaribe;2717;Lote de terreno Matricula 12.665;0.4838;1.7853
51.295.092/0001-15;2024-12-31;1;Terreno - Fazenda Sao Pedro - Vitória da Conquista;12387.5;matrícula nº 37.899;0.0956837027321212;0.622417315804545
51.295.092/0001-15;2024-12-31;1;Terreno - Dr. Joao Batista de Souza Soares - Avenida Dr. João Batista de Souza Soares;9897.12;matrícula nº 94.206;0.284298623340664;1.84934718216355
51.295.092/0001-15;2024-12-31;1;Terreno - Águia de Haia  - venida Águia de Haia;5880;matrícula nº 55.327;0.0953753101264992;0.620411238569609
51.295.092/0001-15;2024-12-31;1;Terreno - Sítio Marília - Estradade Ipitanga, no Município de Lauro de Freitas - BA;4781;matrícula nº 6.530;0.0774567144968005;0.503851742267006
51.295.092/0001-15;2024-12-31;1;Terreno - Avenida Fortaleza - Lauro de Freitas/BA;5573.03;matrícula nº 11.374;0.0774567144968005;0.503851742267006
51.295.092/0001-15;2024-12-31;1;Terreno - Rua Joao Penteado - Ribeirão Preto - SP;2375;matrícula nº 90274;0.0412878459037887;0.268575206529511
51.303.221/0001-70;2024-03-31;1;Rodovia Estadual MT-240, Zona Rural, Água Boa/MT, CEP: 78635-000;1120.4;matrícula do RGI 7.060 do Ofício de Água Boa MT;0.4055;0.4062
51.303.221/0001-70;2024-03-31;1;Av. Gisele, s/n, Lote 52 - Aleixo, Distrito II, Manaus/AM, CEP: 69075-793;5850;matrícula do RGI 47.322 do 4º Ofício de Manaus/AM;0.1861;0.1864
51.303.221/0001-70;2024-03-31;1;R. Green 05, S/N Lote 08, Quadra 06  - Green Park Condomínio Residencial, Rio Verde/GO, CEP: 75909-620;482.7;matrícula do RGI 80.249 do Ofício de Rio Verde/GO;0.159;0.1593
51.710.043/0001-00;2024-12-31;1;Fazenda Santa Sé - Município de Pirangi/SP;1.2453e+006;Gleba A, contendo 5 casas cobertas, sendo 1 sede, 1 terreiro ladrilhado, uma tulha com 2 divisões, barracão coberto de telhas, 1 curral com 2 divisões, 1 gararem, 1 paiol, composta por 92,3486 hectares. Imóvel objeto da matrícula 41.899 do Registro de Imóveis da Comarca de Monte Alto/SP EGleba B composta por 32,1816 hectares, objeto da matrícula 41.900 do Registro de Imóveis da Comarca de Monte Alto/SP;0.189501;0.187571
51.889.479/0001-08;2024-03-31;1;RUA ROBERTO FRANCISCO BEHRENS, CANOAS RS;4632.11;MATRICULA 90923;0.1144;0.1145
51.889.479/0001-08;2024-03-31;1;RUA DO ATERRO CANOAS;1015.57;MATRICULA 23955;0.0945;0.0946
51.889.479/0001-08;2024-03-31;1;RUA DO ATERRO CANOAS;19964.1;MATRICULA 39823;0.559;0.5594
51.889.479/0001-08;2024-03-31;1;AV. PRES. JOÃO GOULART;95.75;MATRICULA 30094;0.2201;0.2203
51.889.479/0001-08;2024-06-30;1;VOLTA DA FIGUEIRA KM 19 - VIA MÃO - RS;13788.6;MATRICULA 40176;0.3506;0.2919
51.889.479/0001-08;2024-06-30;1;VOLTA DA FIGUEIRA KM 19 - VIA MÃO - RS;6740.13;MATRICULA 81.006;0.1109;0.1173
51.889.479/0001-08;2024-09-30;1;CRUZ A 51078;0;CRUZ A 51078;0.240251710122555;0.259235109413475
51.889.479/0001-08;2024-09-30;1;LAGES 36632;0;LAGES 36632;0.247317936890865;0.266859671455048
51.889.479/0001-08;2024-12-31;2;Rua Roberto Francisco Behrens;4632.11;CANOAS Bittencourt - mat. 90.923;0.0198;0.02
51.889.479/0001-08;2024-12-31;2;Avenida Presidente Goulart;30000;SÃO BORJA- mat. 30.094;0.0382;0.0385
51.889.479/0001-08;2024-12-31;2;Km 19, Estrada de Rodagem Porto Alegre - Viamão;13788.6;VIAMÃO mat. 40.176;0.1399;0.14
51.889.479/0001-08;2024-12-31;2;Km 19, Estrada de Rodagem Porto Alegre - Viamão;6740.13;VIAMÃO mat. 81.006;0.0562;0.0567
51.889.479/0001-08;2024-12-31;2;Av. Saturnino de Brito, 601 - São Francisco - Cruz Alta/RS;7008.48;CRUZ ALTA - mat. 51.078;0.1856;0.1871
51.889.479/0001-08;2024-12-31;2;Rua Hirto Luiz Melegari, 465 - Sagrado Coração de Jesus, Lages/SC;9310.7;LAGES - mat. 36.632;0.1911;0.1926
51.889.479/0001-08;2024-12-31;2;Avenida Maestro Roberto Barbosa Ribas, Bairro Juscelino Kubitschek - Santa Maria;29713.4;SANTA MARIA - mat.107.647;0.0753;0.0759
51.889.479/0001-08;2024-12-31;2;Av. Francisco Chagas, 1540 - São Gabriel - RS;16348;SÃO GABRIEL - Mat.4.42;0.0273;0.0275
52.551.605/0001-74;2024-06-30;1;EDIF.A MESSI-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. A - Messier Unid. 01 a 04;28703.8;Matrícula 133478;0.13994004376385;0.1098
52.551.605/0001-74;2024-06-30;1;EDIF.A RUBI-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. A - Rubi Déa Unid. 01 a 06;16780.7;Matrícula 110128;0.081811071829961;0.0642
52.551.605/0001-74;2024-06-30;1;EDIF.B ESTRE-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. B - Estrela de Magalhães Unid. 07 e 08;47633.1;Matrícula 110128;0.232226011645747;0.1823
52.551.605/0001-74;2024-06-30;1;EDIF.B POLUX-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. B - Pólux Unid. 05 e 06;11541.2;Matrícula 133478;0.0562668055074171;0.0442
52.551.605/0001-74;2024-06-30;1;EDIF.C ANTAR-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. C - Antares Unid. 11 e 12;24463.1;Matrícula 114807;0.162359996717117;0.1274
52.551.605/0001-74;2024-06-30;1;EDIF.C FALCA-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. C - Falcão Unid. 10 a 15;17253.8;Matrícula 101105;0.105429524461645;0.0827
52.551.605/0001-74;2024-06-30;1;EDIF.C GEM 8-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. C - Geminni Unid. 08 a 10;34968.7;Matrícula 133478;0.0957817979598871;0.0752
52.551.605/0001-74;2024-06-30;1;EDIF.F JACAR-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. F - Jacarandá Unid. 39 a 41;4953.25;Matrícula 101100;0.0322186230589538;0.0253
52.551.605/0001-74;2024-06-30;1;EDIF.G JEQUI-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. G - Jequitibá Unid. 42 a 44;8656.07;Matrícula 101100;0.0563037834252215;0.0442
52.551.605/0001-74;2024-06-30;1;EDIF.H MOGNO-Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. H - Mogno Unid. 45 e 46;8656.07;Matrícula 101100;0.0376623416302016;0.0296
52.635.194/0001-03;2024-09-30;1;Rua josé Maria Lisboa, 42;137;Projeto JML;0.154268;0.108937
52.635.194/0001-03;2024-09-30;1;Rua josé Maria Lisboa, 46;143;Projeto JML;0.160912;0.113629
52.635.194/0001-03;2024-09-30;1;Rua josé Maria Lisboa, 54;108;Projeto JML;0.162442;0.11471
52.635.194/0001-03;2024-09-30;1;Rua josé Maria Lisboa, 56;115;Projeto JML;0.123331;0.087091
52.635.194/0001-03;2024-09-30;1;Rua Saint Hilaire, 51;171;Projeto JML;0.221684;0.156544
52.635.194/0001-03;2024-09-30;1;Avenida dos Jamaris, 879;1627.05;Projeto Jamaris;0.177364;0.125247
53.076.746/0001-45;2024-03-31;2;RIO GRANDE DO NORTE;2.26992e+007;Imóvel urbano;0.4058;0.4054
53.076.746/0001-45;2024-03-31;2;PARAÍBA;2.43851e+007;Terreno rural;0.1941;0.1939
53.087.126/0001-01;2024-06-28;1;Estr. de Acesso Ao Cetur - Tarumã, Manaus - AM, 69022-155;6112;Há o contrato de compra e venda do loteamento com a cessão de direitos ao fundo.;0.433791079549273;0.318447851360818
53.087.126/0001-01;2024-06-28;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;17705.5;Há o contrato de compra e venda do loteamento com a transferência da escritura para o fundo;0.566208920450727;0.415656343893032
53.087.126/0001-01;2024-09-30;1;Estr. Palmeira - Três Barras, Garuva - SC, 89248-000;17705.5;Há o contrato de compra e venda do loteamento com a transferência da escritura para o fundo;0.200884013803079;
53.095.823/0001-04;2024-12-31;1;Rua Eugênia de Carvalho, nº 1083, Vila Matilde;240;n/a;1;0.0191
53.191.611/0001-20;2024-12-31;1;TERRENO BR364;;-;;
53.313.475/0001-02;2024-06-30;1;FAZENDA RIO BONITO1;354.051;MATRICULA 14830;1;0.233
53.313.475/0001-02;2024-06-30;1;FAZENDA COLISEU;445.962;MATRICULA 14831;1;0.2934
55.435.378/0001-00;2024-09-30;1;Rua Aurora 1011 - São Paulo/SP;1120;Matricula 92955;1;0.9449
57.961.321/0001-70;2024-12-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.25;0.43
57.961.321/0001-70;2024-12-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.27;0.4689
57.961.321/0001-70;2024-12-31;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.23;0.354
57.961.321/0001-70;2024-12-31;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.02;0.0314
57.961.321/0001-70;2024-12-31;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.23;0.4099
57.965.466/0001-49;2024-12-31;1;Av. Jandira, 374 - São Paulo, SP 04080-002;186;N/A;0.00853668617844851;0.0078142909195482
57.965.466/0001-49;2024-12-31;1;Al. dos Maracatins, 887 - São Paulo, SP 04089-012;340;N/A;0.0329117023320012;0.030126633602756
57.965.466/0001-49;2024-12-31;1;Al. dos Maracatins, 857 - São Paulo, SP 04089-012;1665;N/A;0.476580465789644;0.436251061407871
57.965.466/0001-49;2024-12-31;1;Al. dos Maracatins, 847 - São Paulo, SP 04089-012;300;N/A;0.108562114779353;0.0993753231633293
