CNPJ_Fundo;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
01.235.622/0001-61;2020-12-31;1;Marechal Câmara 160;Prazo contratual superior, índice de reajuste pelo IPCA, Isenção de multa após transcorrido determinado prazo e desde que respeitado o aviso prévio, impossibilidade de retenção pelo Locatário de todas as benfeitorias realizadas no imóvel.
01.235.622/0001-61;2020-12-31;1;Senhor Dos Passos 107;Multa por atraso superior. Multa por rescisão em caso de contrato em prazo indeterminado e desde que não cumprido o aviso prévio estabelecido.
01.235.622/0001-61;2020-12-31;1;Sete De Setembro N° 155;Multa por atraso superior.
01.235.622/0001-61;2020-12-31;1;Travessa Do Ouvidor, 9;Multa por atraso superior.
01.235.622/0001-61;2020-12-31;1;Uruguaiana 76;Multa por atraso superior.
01.235.622/0001-61;2020-12-31;1;Uruguaiana 78;Multa por atraso superior, prazo contratual maior e devolução de desconto em caso de rescisão antecipada
01.497.954/0001-14;2020-03-31;1;Nada;Nada
01.497.954/0001-14;2020-06-30;1;Nada;Nada
01.497.954/0001-14;2020-09-30;1;Nada;Nada
01.497.954/0001-14;2020-12-31;1;Nada;Nada
01.601.918/0001-59;2020-03-31;1;Eusébio Matoso;Contrato com correção anual pela variação positiva do IPCA
01.601.918/0001-59;2020-03-31;1;Dantas Barreto;Contrato com correção anual pela variação positiva do IPC-FIP
01.601.918/0001-59;2020-06-30;2;Eusébio Matoso;Contrato com correção anual pela variação positiva do IPCA
01.601.918/0001-59;2020-06-30;2;Dantas Barreto;Contrato com correção anual pela variação positiva do IPC-FIP
01.601.918/0001-59;2020-09-30;1;Eusébio Matoso;Contrato com correção anual pela variação positiva do IPCA
01.601.918/0001-59;2020-09-30;1;Dantas Barreto;Contrato com correção anual pela variação positiva do IPC-FIP
01.601.918/0001-59;2020-12-31;2;Eusébio Matoso;Contrato com correção anual pela variação positiva do IPCA
01.601.918/0001-59;2020-12-31;2;Dantas Barreto;Contrato com correção anual pela variação positiva do IPC-FIP
01.633.741/0001-72;2020-03-31;1;Rua Júlio Gonzales, 132;Garantia caução em dinheiro
01.633.741/0001-72;2020-03-31;1;Rua Júlio Gonzales, 132;Cessão fiduciária de cotas
01.633.741/0001-72;2020-06-30;1;Rua Júlio Gonzales, 132;Garantia caução em dinheiro
01.633.741/0001-72;2020-09-30;1;Rua Júlio Gonzales, 132;Garantia caução em dinheiro
01.633.741/0001-72;2020-12-31;1;Rua Júlio Gonzales, 132;Garantia caução em dinheiro
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Lojas que pagam diferença semestral de aluguel minimo
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Lojas que pagam diferença anual de aluguel minimo
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Lojas que pagam o aluguel através de percentual estabelecido sobre as vendas
01.636.325/0001-28;2020-03-31;1;Moinhos Shopping;Lojas que tem custo de ocupação fixo e aluguel variável
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Lojas que pagam diferença semestral de aluguel minimo
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Lojas que pagam diferença anual de aluguel minimo
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Lojas que pagam o aluguel através de percentual estabelecido sobre as vendas
01.636.325/0001-28;2020-06-30;1;Moinhos Shopping;Lojas que tem custo de ocupação fixo e aluguel variável
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Lojas que pagam diferença semestral de aluguel minimo
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Lojas que pagam diferença anual de aluguel minimo
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Lojas que pagam o aluguel através de percentual estabelecido sobre as vendas
01.636.325/0001-28;2020-09-30;1;Moinhos Shopping;Lojas que tem custo de ocupação fixo e aluguel variável
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Lojas que pagam diferença semestral de aluguel minimo
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Lojas que pagam diferença anual de aluguel minimo
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Lojas que pagam o aluguel através de percentual estabelecido sobre as vendas
01.636.325/0001-28;2020-12-31;1;Moinhos Shopping;Lojas que tem custo de ocupação fixo e aluguel variável
