CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
24.853.060/0001-15;2020-03-31;1;02/2020;-0.001377;-0.001377
24.853.060/0001-15;2020-03-31;1;03/2020;0.004878;0.004878
26.191.053/0001-20;2020-03-31;1;01/2020;-0.001385;-0.001385
26.191.053/0001-20;2020-03-31;1;02/2020;-0.001409;-0.001409
26.191.053/0001-20;2020-03-31;1;03/2020;-0.001858;-0.001858
26.195.121/0001-20;2020-03-31;2;03/2020;0.004168;0.004168
26.502.761/0001-35;2020-03-31;1;01/2020;0.003597;
26.502.761/0001-35;2020-03-31;1;02/2020;-0.001868;
26.502.761/0001-35;2020-03-31;1;03/2020;0.000205;
26.502.761/0001-35;2020-06-30;1;01/2020;0.003597;
26.502.761/0001-35;2020-06-30;1;02/2020;-0.001868;
26.502.761/0001-35;2020-06-30;1;03/2020;0.000205;
26.502.761/0001-35;2020-06-30;1;04/2020;0.011827;
26.502.761/0001-35;2020-06-30;1;05/2020;-0.006669;
26.502.761/0001-35;2020-06-30;1;06/2020;-0.007514;
26.502.794/0001-85;2020-03-31;2;01/2020;0.00722;0
26.502.794/0001-85;2020-03-31;2;02/2020;0.009957;0
26.502.794/0001-85;2020-03-31;2;03/2020;0.007564;0
26.502.794/0001-85;2020-06-30;2;01/2020;0.00722;0
26.502.794/0001-85;2020-06-30;2;02/2020;0.009957;0
26.502.794/0001-85;2020-06-30;2;03/2020;0.007564;0
26.502.794/0001-85;2020-06-30;2;04/2020;0.004237;0
26.502.794/0001-85;2020-06-30;2;05/2020;0.004542;0
26.502.794/0001-85;2020-06-30;2;06/2020;0.004182;0
26.502.794/0001-85;2020-09-30;3;01/2020;0.00722;0
26.502.794/0001-85;2020-09-30;3;02/2020;0.009957;0
26.502.794/0001-85;2020-09-30;3;03/2020;0.007564;0
26.502.794/0001-85;2020-09-30;3;04/2020;0.004237;0
26.502.794/0001-85;2020-09-30;3;05/2020;0.004542;0
26.502.794/0001-85;2020-09-30;3;06/2020;0.004182;0
26.502.794/0001-85;2020-09-30;3;07/2020;0.005188;0
26.502.794/0001-85;2020-09-30;3;08/2020;0.004843;0
26.502.794/0001-85;2020-09-30;3;09/2020;0.003509;0
26.502.794/0001-85;2020-12-31;3;01/2020;0.00722;0
26.502.794/0001-85;2020-12-31;3;02/2020;0.009957;0
26.502.794/0001-85;2020-12-31;3;03/2020;0.007564;0
26.502.810/0001-30;2020-03-31;1;01/2020;-0.000168;-0.000168
26.502.810/0001-30;2020-03-31;1;02/2020;0.008192;0.008192
26.502.810/0001-30;2020-03-31;1;03/2020;0.016014;0.016014
26.681.370/0001-25;2020-06-30;2;jul-20;0.0054;0.0043
26.681.370/0001-25;2020-09-30;1;jul-20;0.0054;0.0043
26.846.134/0001-11;2020-03-31;1;01/2020;-0.014789;
26.846.134/0001-11;2020-03-31;1;02/2020;-0.023934;
26.846.134/0001-11;2020-03-31;1;03/2020;-0.040971;
26.846.134/0001-11;2020-06-30;1;01/2020;-0.014789;
26.846.134/0001-11;2020-06-30;1;02/2020;-0.023934;
26.846.134/0001-11;2020-06-30;1;03/2020;-0.040971;
26.846.134/0001-11;2020-06-30;1;04/2020;-0.013441;
26.846.134/0001-11;2020-06-30;1;05/2020;-0.006988;
26.846.134/0001-11;2020-06-30;1;06/2020;-0.007113;
26.990.011/0001-50;2020-03-31;1;03/2020;-0.001376;-0.001376
27.368.617/0001-10;2020-03-31;1;01/2020;-0.005433;-0.005433
27.368.617/0001-10;2020-03-31;1;02/2020;-0.00133;-0.00133
27.368.617/0001-10;2020-03-31;1;03/2020;-1.6E-05;-1.6E-05
27.538.422/0001-71;2020-03-31;3;01/2020;-0.002897;0
27.538.422/0001-71;2020-03-31;3;02/2020;0.000777;0
27.538.422/0001-71;2020-03-31;3;03/2020;0.001233;0
27.538.422/0001-71;2020-06-30;2;01/2020;0.007047;
27.538.422/0001-71;2020-06-30;2;02/2020;0.000777;
27.538.422/0001-71;2020-06-30;2;03/2020;0.001233;
27.538.422/0001-71;2020-06-30;2;04/2020;0.008695;
27.538.422/0001-71;2020-06-30;2;05/2020;0.010801;
27.538.422/0001-71;2020-06-30;2;06/2020;0.007191;
28.267.696/0001-36;2020-03-31;2;12/2019;0.020502;0.020502
28.267.696/0001-36;2020-03-31;2;01/2020;0.012862;0.012862
28.267.696/0001-36;2020-03-31;2;02/2020;0.006071;0.006071
28.267.696/0001-36;2020-03-31;2;03/2020;0.010587;0.010587
28.893.734/0001-66;2020-03-31;1;01/2020;-0.014403;-0.014403
28.893.734/0001-66;2020-03-31;1;02/2020;-0.0131;-0.0131
28.893.734/0001-66;2020-03-31;1;03/2020;-0.012702;-0.012702
28.893.734/0001-66;2020-06-30;1;04/2020;-0.011126;-0.011126
28.893.734/0001-66;2020-06-30;1;05/2020;-0.01554;-0.01554
28.893.734/0001-66;2020-06-30;1;06/2020;-0.017078;-0.017078
28.893.734/0001-66;2020-09-30;1;07/2020;-0.012946;-0.012946
28.893.734/0001-66;2020-09-30;1;08/2020;-0.009116;-0.009116
28.893.734/0001-66;2020-09-30;1;09/2020;-0.023683;-0.023683
28.893.734/0001-66;2020-12-31;1;10/2020;-0.02286;-0.02286
28.893.734/0001-66;2020-12-31;1;11/2020;-0.026357;-0.026357
28.893.734/0001-66;2020-12-31;1;12/2020;-0.028083;-0.028083
30.248.129/0001-84;2020-03-31;1;01/2020;0.001201;0.001201
30.248.129/0001-84;2020-03-31;1;02/2020;0.037694;0.037694
30.248.129/0001-84;2020-03-31;1;03/2020;0.01417;0.01417
30.492.505/0001-81;2020-03-31;1;03/2020;0.000227;0.000227
30.567.216/0001-02;2020-03-31;1;03/2020;-0.000934;-0.000934
30.578.275/0001-78;2020-03-31;1;12/2019;-0.002099;-0.002099
30.578.275/0001-78;2020-03-31;1;01/2020;-0.000467;-0.000467
30.578.275/0001-78;2020-03-31;1;02/2020;-0.000497;-0.000497
30.578.275/0001-78;2020-03-31;1;02/2020;-0.000472;-0.000472
30.578.351/0001-45;2020-03-31;1;12/2019;0.00188;0.00188
30.578.351/0001-45;2020-03-31;1;01/2020;-0.000516;-0.000516
30.578.351/0001-45;2020-03-31;1;02/2020;-0.000798;-0.000798
30.578.351/0001-45;2020-03-31;1;03/2020;-0.000524;-0.000524
30.629.603/0001-18;2020-03-31;3;31/03/2020;0.006214;0.00557
30.629.603/0001-18;2020-06-30;1;30/06/2020;0.059614;0.058402
30.871.698/0001-81;2020-06-30;1;abril/2020;0.00637639751736579;0.0018407438812608
30.871.698/0001-81;2020-06-30;1;maio/2020;0.0071720353336025;0.00181771840336465
30.871.698/0001-81;2020-06-30;1;junho/2020;0.00679145353753316;0.00165531748776161
30.982.923/0001-57;2020-03-31;1;01/2020;-0.040001;
30.982.923/0001-57;2020-03-31;1;02/2020;-0.029681;
30.982.923/0001-57;2020-03-31;1;03/2020;-0.029681;
30.982.923/0001-57;2020-06-30;1;01/2020;-0.040001;
30.982.923/0001-57;2020-06-30;1;02/2020;-0.029681;
30.982.923/0001-57;2020-06-30;1;03/2020;-0.029681;
30.982.923/0001-57;2020-06-30;1;04/2020;-0.078574;
30.982.923/0001-57;2020-06-30;1;05/2020;-0.088246;
30.982.923/0001-57;2020-06-30;1;06/2020;-0.096097;
30.982.923/0001-57;2020-09-30;1;01/2020;-0.040001;
30.982.923/0001-57;2020-09-30;1;02/2020;-0.029681;
30.982.923/0001-57;2020-09-30;1;03/2020;-0.029681;
30.982.923/0001-57;2020-09-30;1;04/2020;-0.078574;
30.982.923/0001-57;2020-09-30;1;05/2020;-0.088246;
30.982.923/0001-57;2020-09-30;1;06/2020;-0.096097;
30.982.974/0001-89;2020-03-31;2;01/2020;-0.000389;-0.000389
30.982.974/0001-89;2020-03-31;2;02/2020;-0.000957;-0.000957
30.982.974/0001-89;2020-03-31;2;03/2020;-0.000238;-0.000238
31.887.401/0001-39;2020-03-31;1;03/2020;-0.158133;-0.158133
31.887.401/0001-39;2020-03-31;1;02/2020;-0.023347;-0.023347
31.887.401/0001-39;2020-03-31;1;01/2020;-0.030044;-0.030044
31.887.401/0001-39;2020-06-30;2;06/2020;0.049884;0.049884
31.887.401/0001-39;2020-06-30;2;05/2020;0.014039;0.014039
31.887.401/0001-39;2020-06-30;2;04/2020;0.006786;0.006786
31.887.401/0001-39;2020-09-30;2;06/2020;0.049884;0.049884
31.887.401/0001-39;2020-09-30;2;05/2020;0.014039;0.014039
31.887.401/0001-39;2020-09-30;2;04/2020;0.006786;0.006786
31.887.401/0001-39;2020-12-31;2;12/2020;0.019137;0.019137
31.887.401/0001-39;2020-12-31;2;11/2020;0.011862;0.011862
31.887.401/0001-39;2020-12-31;2;10/2020;-0.010696;-0.010696
32.655.589/0001-52;2020-03-31;1;01/2020;-0.005374;-0.005374
32.655.589/0001-52;2020-03-31;1;02/2020;0.005191;0.005191
32.655.589/0001-52;2020-03-31;1;03/2020;-0.008198;-0.008198
32.655.589/0001-52;2020-06-30;1;04/2020;0.005247;0.005247
32.655.589/0001-52;2020-06-30;1;05/2020;-0.004525;-0.004525
32.655.589/0001-52;2020-06-30;1;06/2020;0.007468;0.007468
32.655.589/0001-52;2020-09-30;1;07/2020;-0.005601;-0.005601
32.655.589/0001-52;2020-09-30;1;08/2020;-0.00386;-0.00386
32.655.589/0001-52;2020-09-30;1;09/2020;-0.006524;-0.006524
32.655.589/0001-52;2020-12-31;1;10/2020;-0.009968;-0.009968
32.655.589/0001-52;2020-12-31;1;11/2020;-0.005249;-0.005249
32.655.589/0001-52;2020-12-31;1;12/2020;-0.021431;-0.021431
34.081.631/0001-02;2020-03-31;1;02/2020;-0.046375;-0.046375
34.081.631/0001-02;2020-03-31;1;03/2020;-0.000335;-0.000335
34.508.923/0001-70;2020-03-31;1;01/2020;0.00137;
34.508.923/0001-70;2020-03-31;1;02/2020;-0.003742;
34.508.923/0001-70;2020-03-31;1;03/2020;0.027903;
34.508.923/0001-70;2020-06-30;1;01/2020;0.00137;
34.508.923/0001-70;2020-06-30;1;02/2020;-0.003742;
34.508.923/0001-70;2020-06-30;1;03/2020;0.027903;
34.508.923/0001-70;2020-06-30;1;04/2020;0.007102;
34.508.923/0001-70;2020-06-30;1;05/2020;0.001344;
34.508.923/0001-70;2020-06-30;1;06/2020;0.010441;
34.509.007/0001-55;2020-03-31;1;01/2020;-0.036259;
34.509.007/0001-55;2020-03-31;1;02/2020;-0.000436;
34.509.007/0001-55;2020-03-31;1;03/2020;0.036247;
34.509.007/0001-55;2020-06-30;1;01/2020;-0.036259;
34.509.007/0001-55;2020-06-30;1;02/2020;-0.000436;
34.509.007/0001-55;2020-06-30;1;03/2020;0.036247;
34.509.007/0001-55;2020-06-30;1;04/2020;-0.009171;
34.509.007/0001-55;2020-06-30;1;05/2020;-0.00314;
34.509.007/0001-55;2020-06-30;1;06/2020;-0.003104;
34.691.925/0001-48;2020-03-31;1;01/2020;-0.006249;-0.006249
34.691.925/0001-48;2020-03-31;1;02/2020;0.003078;0.003078
34.691.925/0001-48;2020-03-31;1;03/2020;-0.001396;-0.001396
34.691.925/0001-48;2020-09-30;1;07/2020;-0.001238;-0.001238
34.691.925/0001-48;2020-09-30;1;08/2020;-0.000543;-0.000543
34.691.925/0001-48;2020-09-30;1;09/2020;-0.001973;-0.001973
34.691.925/0001-48;2020-12-31;1;10/2020;-0.001445;-0.001445
34.691.925/0001-48;2020-12-31;1;11/2020;0.002485;0.002485
34.691.925/0001-48;2020-12-31;1;12/2020;-0.031972;-0.031972
34.693.040/0001-88;2020-03-31;1;03/2020;-0.00114;-0.00114
34.693.040/0001-88;2020-09-30;1;07/2020;-0.002181;-0.002181
34.693.040/0001-88;2020-09-30;1;08/2020;-0.002392;-0.002392
34.693.040/0001-88;2020-09-30;1;09/2020;-0.002076;-0.002076
34.693.040/0001-88;2020-12-31;1;10/2020;-0.002274;-0.002274
34.693.040/0001-88;2020-12-31;1;11/2020;-0.001991;-0.001991
34.693.040/0001-88;2020-12-31;1;12/2020;-0.002168;-0.002168
36.517.660/0001-91;2020-12-31;1;Novembro;-0.006742;-0.006881
36.517.660/0001-91;2020-12-31;1;Dezembro;0.010258;0.006232
36.615.915/0001-59;2020-12-31;1;10/2020;-0.012486;-0.012486
36.615.915/0001-59;2020-12-31;1;11/2020;0.009296;0.009296
36.615.915/0001-59;2020-12-31;1;12/2020;0.006504;0.006504
38.376.805/0001-07;2020-12-31;1;10/2020;-0.000995;-0.000995
38.376.805/0001-07;2020-12-31;1;11/2020;-0.00039;-0.00039
38.376.805/0001-07;2020-12-31;1;12/2020;-0.001109;-0.001109
