CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
13.974.819/0001-00;2020-03-31;1;Imóvel Duque de Caxias - Galpão 01;Rod. Washington Luiz, km 113, Via Projetada Aterial PD04,  nº 3777;49627.38;1;N/A;0.5936;Renda
15.489.509/0001-17;2020-12-31;1;LOJA 67;Avenida Leopoldino de Oliveira, n° 3.661,  Uberaba/MG;2393;1;Prédio;0.0045;Renda
15.576.907/0001-70;2020-12-31;1;GPA - Rebouças;Rua Alves Guimarães, nº 50, Pinheiros - SP;2935;1;imóvel para renda;0.013196;Renda
16.671.412/0001-93;2020-06-30;1;Onepark Guarulhos;Rua Prof. João Cavalheiro Salem, 1.289 Bonsucesso, Guarulhos/SP;22825;2;N/A;0.101107055448516;Renda
17.161.979/0001-82;2020-09-30;1;Edifício Century Tower;Rua Maria Luiza Santiago, 200 - Belo Horizonte MG;702;1;Sala 401;1;Renda
17.161.979/0001-82;2020-09-30;1;Edifício Century Tower;Rua Maria Luiza Santiago, 200 - Belo Horizonte MG;702;1;Sala 501;1;Renda
17.209.378/0001-00;2020-03-31;1;TREND HIGIENÓPOLIS-UNID-2204;Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP;81;1;MAT - 90.443 - Apartamento Residencial;1;Venda
17.209.378/0001-00;2020-06-30;1;TREND HIGIENÓPOLIS-UNID-2204;Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP;81;1;MAT - 90.443 - Apartamento Residencial;1;Venda
17.209.378/0001-00;2020-09-30;1;TREND HIGIENÓPOLIS-UNID-2204;Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP;81;1;MAT - 90.443 - Apartamento Residencial;1;Venda
17.209.378/0001-00;2020-12-31;1;TREND HIGIENÓPOLIS-UNID-2204;Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP;81;1;MAT - 90.443 - Apartamento Residencial;1;Venda
17.554.274/0001-25;2020-03-31;1;Shopping ABC;Av. Pereira Barreto, 42 - Santo André - SP;47375;270;Aréa total construida 28.840 m²;0.619047619047619;Renda
17.554.274/0001-25;2020-03-31;1;7,7881% Shopping Patio Belém;Trav. Padre Eutíquio, 1078 - Belém - PA;21650.29;189;Aréa total construida 126251,0 m²;0.380952380952381;Renda
17.554.274/0001-25;2020-09-30;1;Shopping Praia da Costa;Avenida Doutor Olivio Lira, 353 - Praia da Costa, Vila Velha/ES;40580;200;98,5% adquirido;0.126311541050714;Renda
17.554.274/0001-25;2020-09-30;1;Shopping Ribeirão;Avenida Coronel Fernando Ferreira Leite nº 1.540 - Ribeirão Preto/SP;74998;340;3,25% adquirido;0.0167825343166025;Renda
17.554.274/0001-25;2020-12-31;2;Shopping Praia da Costa;Avenida Doutor Olivio Lira, 353 - Praia da Costa, Vila Velha/ES;40580;200;Direito de propriedade;0.143412680685925;Renda
17.554.274/0001-25;2020-12-31;2;Shopping Ribeirão;Avenida Coronel Fernando Ferreira Leite nº 1.540 - Ribeirão Preto/SP;74998;340;Direito de propriedade;0.105359746718343;Renda
19.722.048/0001-31;2020-03-31;1;AF 109 12;Rua Antônio Felício, 109 - 12;110.95;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;BAT 170 13;Rua Batataes, 170  - 13;101.1;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;BV 592 136;Rua Baltazar da Veiga 592 - 136;35.77;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;CAC 49 53;Rua Caconde, 49  - 53;159.9;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;CAC 74 72;Rua Caconde 74 - 72;100.55;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;CON 2801 102;Rua da Consolação 2801 - 102;100.38;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;FR 162 121;Alameda Franca 162 - 121;113.515;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;INA 17 11;Rua Inajaroba 17 - 11;209.98;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JAU 88 54;Alameda Jaú 88 - 54;130.9;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JEL 1075 31;Alameda Joaquim Eugênio de Lima 1075 - 31;86.62;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JEL 1095 63;Alameda Joaquim Eugênio de Lima 1095 - 63;105.47;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JF 626 801;Rua Jaques Félix 626 - 801;42.3483;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JML 463 73;Rua José Maria Lisboa 463 - 73;153.88;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;LO 853 102B;Alameda Lorena 853 - 102B;89;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;MF 220 8;Rua Dr. Mario Ferraz, 220 - 8;240.7;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;MGD 475 23;Rua Manuel Guedes 475 - 23;130.96;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;PG 1769 63;Rua Peixoto Gomide 1769 - 63;109.42;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;QUE 70 102;Rua Queluz 70 - 102;84.57;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;RPB 319 14;Rua Doutor Renato Paes de Barros 319 - 107;107.88;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;TIE 471 103;Alameda Tietê 471 - 103;109.42;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;MRA 932 71;Alameda Min. Rocha Azevedo 932 - 71;191.06;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JEL 834 41;Alameda Joaquim Eugênio de Lima 834 - 41;184.66;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;OBR 75 21;Rua Ouro Branco 75 - 21;194.28;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;ITU 1329 71;Alameda Itu 1329 - 71;195.64;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;CON 3665 22;Rua da Consolação 3665 - 22;203.18;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;BAT 362 71;Rua Batataes, 362 - 71;209.84;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JML 1055 5;Rua José Maria Lisboa 1055 - 5;207.2;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;BPA 780 71;Rua Bandeira Paulista 780 - 71;182;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JAU 1486 9;Alameda Jaú 1486 - 9;239;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;JML 852 21;Rua José Maria Lisboa 852 - 21;198.075;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-03-31;1;BAT 362 91;Rua Batataes, 362 - 91;209.84;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2020-06-30;2;ABI 1363 44;Rua Abílio Soares 1363 - 44;110;1;Apartamento residencial pronto para venda;0.00404454224886143;Venda
19.722.048/0001-31;2020-06-30;2;JOI 55 2104;Rua Joinville 55 - 2104;40.11;1;Apartamento residencial pronto para venda;0.0017605138204281;Venda
19.722.048/0001-31;2020-06-30;2;JMO 975 124;Rua João Moura 975 - 124;86.79;1;Apartamento residencial pronto para venda;0.00345645565060433;Venda
19.722.048/0001-31;2020-06-30;2;FR 1645 82;Alameda Franca 1645 - 82;33.5;1;Apartamento residencial pronto para venda;0.00156023838724203;Venda
19.722.048/0001-31;2020-06-30;2;SC 168 31;Rua Silva Correia 168 - 31;161.43;1;Apartamento residencial pronto para venda;0.0102276475362829;Venda
19.722.048/0001-31;2020-06-30;2;MRA 523 252;Alameda Ministro Rocha Azevedo 523 - 252;42;1;Apartamento residencial pronto para venda;0.00172053130870434;Venda
19.722.048/0001-31;2020-06-30;2;LCM 539 51;Rua Leopoldo Couto de Magalhães Júnior, 539 - 51;46.75;1;Apartamento residencial pronto para venda;0.00240841197503712;Venda
19.722.048/0001-31;2020-06-30;2;QUA 936 32;Rua Quatá 936 - 32;57.29;1;Apartamento residencial pronto para venda;0.00242077039773738;Venda
19.722.048/0001-31;2020-06-30;2;PAI 1003 51;Rua Professor Atilio Innocenti 1003 - 51;101.8605;1;Apartamento residencial pronto para venda;0.00393859694082657;Venda
19.722.048/0001-31;2020-06-30;2;PED 328 62;Rua Pedroso Alvarenga, 328 - 62;154.965;1;Apartamento residencial pronto para venda;0.00637895795277231;Venda
19.722.048/0001-31;2020-06-30;2;COP 569 81;Rua Coronel Oscar Porto 569 - 81;200.29;1;Apartamento residencial pronto para venda;0.00681864940341759;Venda
19.722.048/0001-31;2020-06-30;2;FID 74 11;Rua Fidêncio Ramos, 74 - 11;124.06;1;Apartamento residencial pronto para venda;0.00521567671326112;Venda
19.722.048/0001-31;2020-06-30;2;BRA 120 7;Rua Brasília, 120 - 7;131.59;1;Apartamento residencial pronto para venda;0.0082433778412494;Venda
19.722.048/0001-31;2020-06-30;2;CRV 671 133;Rua Cristiano Viana 671 - 133;69.42;1;Apartamento residencial pronto para venda;0.00346951045818712;Venda
19.722.048/0001-31;2020-06-30;2;DID 40 22;Doutor Ivo Define Frasca 40 - 22;91.698;1;Apartamento residencial pronto para venda;0.00471942112766839;Venda
19.722.048/0001-31;2020-06-30;2;FIR 128 112;Rua Fidêncio Ramos 128 - 112;121.33;1;Apartamento residencial pronto para venda;0.00533348965454562;Venda
19.722.048/0001-31;2020-06-30;2;CLD 506 183;Rua Clodomiro Amazonas, 506 - 183;67.34;1;Apartamento residencial pronto para venda;0.00597015285451755;Venda
19.722.048/0001-31;2020-06-30;2;TOM 880 151;Rua Doutor Tomás Carvalhal 880 - 151;296.37;1;Apartamento residencial pronto para venda;0.014659584735918;Venda
19.722.048/0001-31;2020-06-30;2;CAC 50 82;Rua Caconde, 50 - 82;128.78;1;Apartamento residencial pronto para venda;0.00385333548312722;Venda
19.722.048/0001-31;2020-06-30;2;SAJ 244 161;Rua Santa Justina 244 - 161;96.96;1;Apartamento residencial pronto para venda;0.0040849801576636;Venda
19.722.048/0001-31;2020-06-30;2;ITU 745 42;Alameda Itu 745 - 42;172.66;1;Apartamento residencial pronto para venda;0.00807758731985832;Venda
19.722.048/0001-31;2020-06-30;2;BAL 63 12;Rua Baluarte 63 - 12;93.7122;1;Apartamento residencial pronto para venda;0.00292332993566697;Venda
19.722.048/0001-31;2020-06-30;2;TAB 452 73;Rua Tabapuã 452 - 73;77.44;1;Apartamento residencial pronto para venda;0.00269430557536693;Venda
19.722.048/0001-31;2020-06-30;2;CON 2801 43;Rua da Consolação 2801 - 43;100.38;1;Apartamento residencial pronto para venda;0.00413839501082966;Venda
19.722.048/0001-31;2020-09-30;1;AFE 61 41;Rua André Fernandes 51,61 n 41;196.42;1;Apartamento para venda;0.00979;Venda
19.722.048/0001-31;2020-09-30;1;BC 1760 34;Rua Bela Cintra 1760 - 34;112.35;1;Apartamento para venda;0.006059;Venda
19.722.048/0001-31;2020-09-30;1;BPA 747 104;Rua Bandeira Paulista 747 - 104;54.45;1;Apartamento para venda;0.002636;Venda
19.722.048/0001-31;2020-09-30;1;BV 273 11;Rua Baltazar da Veiga 273 - 11;126.29;1;Apartamento para venda;0.008319;Venda
19.722.048/0001-31;2020-09-30;1;CAM 1176 71;Alameda Campinas 1176 - 71;109.8;1;Apartamento para venda;0.004797;Venda
19.722.048/0001-31;2020-09-30;1;CAT 891 64;Rua Casa do Ator 891 - 64;57.34;1;Apartamento para venda;0.003017;Venda
19.722.048/0001-31;2020-09-30;1;COP 114 32;Rua Coronel Oscar Porto 114 - 32;132.67;1;Apartamento para venda;0.005072;Venda
19.722.048/0001-31;2020-09-30;1;DMA 265 112;Rua Doutor Melo Alves 265 - 112;110;1;Apartamento para venda;0.005048;Venda
19.722.048/0001-31;2020-09-30;1;FC 395 103;Alameda Fernão Cardim 395 - 103;45;1;Apartamento para venda;0.003844;Venda
19.722.048/0001-31;2020-09-30;1;FC 98 102;Alameda Fernão Cardim 98 - 102;125.17;1;Apartamento para venda;0.003552;Venda
19.722.048/0001-31;2020-09-30;1;FR 1331 92;Alameda Franca 1331 - 92;188.22;1;Apartamento para venda;0.006965;Venda
19.722.048/0001-31;2020-09-30;1;HL 1141 92;Rua Haddock Lobo 1141 - 92;144.2;1;Apartamento para venda;0.005197;Venda
19.722.048/0001-31;2020-09-30;1;HL 971 14;Rua Haddock Lobo 971 - 14;113.59;1;Apartamento para venda;0.004505;Venda
19.722.048/0001-31;2020-09-30;1;JF 162 31;Rua Jaques Félix 162 - 31;156;1;Apartamento para venda;0.009584;Venda
19.722.048/0001-31;2020-09-30;1;LO 280 34;Alameda Lorena, 280 - 34;58.79;1;Apartamento para venda;0.003067;Venda
19.722.048/0001-31;2020-09-30;1;PED 1004 92;Rua Pedroso Alvarenga 1004  - 92;67.09;1;Apartamento para venda;0.00314;Venda
19.722.048/0001-31;2020-09-30;1;QUA 960 53;Rua Quatá 960 - 53;54.9336;1;Apartamento para venda;0.002948;Venda
19.722.048/0001-31;2020-09-30;1;RPB 1054 22;Rua Doutor Renato Paes de Barros 1054 - 22;105.51;1;Apartamento para venda;0.004124;Venda
19.722.048/0001-31;2020-09-30;1;VIR 97 54;Rua Viradouro 97 - 54;92.72;1;Apartamento para venda;0.004399;Venda
19.722.048/0001-31;2020-12-31;1;IA 84 84;Rua Iara 84 - 84;44.45;1;Apartamento residencial pronto para venda;0;Venda
19.722.048/0001-31;2020-12-31;1;PJM 494 111;Rua Padre João Manuel 494 - 111;140;1;Apartamento residencial pronto para venda;0.004863;Venda
19.722.048/0001-31;2020-12-31;1;CPRU 161 12;Rua Capitão Prudente 161 - 12;160.18;1;Apartamento residencial pronto para venda;0.005528;Venda
19.722.048/0001-31;2020-12-31;1;SAR 173 21;Alameda Sarutaiá 173 - 21;222.28;1;Apartamento residencial pronto para venda;0.009764;Venda
19.722.048/0001-31;2020-12-31;1;JML 20 1004;Rua José Maria Lisboa  20 - 1004;33.8;1;Apartamento residencial pronto para venda;0.001819;Venda
19.722.048/0001-31;2020-12-31;1;URI 111 11;Rua Urimonduba 111 - 11;142.02;1;Apartamento residencial pronto para venda;0.006592;Venda
19.722.048/0001-31;2020-12-31;1;FC 369 92;Rua Francisco Leitão 369 - 92;101.05;1;Apartamento residencial pronto para venda;0;Venda
19.722.048/0001-31;2020-12-31;1;QUA 746 54;Rua Quatá 746 - 54;111.44;1;Apartamento residencial pronto para venda;0.0044;Venda
19.722.048/0001-31;2020-12-31;1;ALV 735 41;Rua Alvorada 735 - 41;103.82;1;Apartamento residencial pronto para venda;0.003718;Venda
19.722.048/0001-31;2020-12-31;1;TC 362 61;Rua Tomás Carvalhal 362 - 61;130.02;1;Apartamento residencial pronto para venda;0.005057;Venda
19.722.048/0001-31;2020-12-31;1;TAB 281 92;Rua Tabapuã 281 - 92;121.69;1;Apartamento residencial pronto para venda;0.005059;Venda
19.722.048/0001-31;2020-12-31;1;CEL 524 44;Rua Cônego Eugênio Leite 524 - 44;113;1;Apartamento residencial pronto para venda;0.004095;Venda
19.722.048/0001-31;2020-12-31;1;ABI 951 12;Rua Abílio Soares 951 - 12;104.6;1;Apartamento residencial pronto para venda;0.003245;Venda
19.722.048/0001-31;2020-12-31;1;PED 271 92;Rua Pedroso Alvarenga 271 - 92;122.5;1;Apartamento residencial pronto para venda;0.00781;Venda
19.722.048/0001-31;2020-12-31;1;BLA 2759 31;Avenida Brigadeiro Luís Antônio 2759 - 31;111.79;1;Apartamento residencial pronto para venda;0.003744;Venda
19.722.048/0001-31;2020-12-31;1;SANT 1126 503;Alameda Santos 1126 - 503;99.4;1;Apartamento residencial pronto para venda;0;Venda
19.722.048/0001-31;2020-12-31;1;GUA 100 84;Rua Guarará 100 - 84;71.13;1;Apartamento residencial pronto para venda;0;Venda
19.722.048/0001-31;2020-12-31;1;JLO 754 82;Rua João Lourenço 754 - 82;66;1;Apartamento residencial pronto para venda;0.002627;Venda
19.872.887/0001-36;2020-03-31;2;Centro Universitário UNA - UNA;Rua dos Aimorés, nº 1451-A, Lourdes, Belo Horizonte/MG  CEP: 30.140-072;10059.61;1;Matrícula nº 3043, do 2º Ofício de Registro de Imóveis de Belo Horizonte - Minas Gerais. O imóvel está cadastrado na Prefeitura Municipal de BH com a Classificação Fiscal nº 13.001.19.0004866 e 13.001.19.0558605 e Identificação nº  004015020001-8 e 0040150200026, tendo-lhes sido atribuído no exercício de 2019 o valor venal de R$506.767,00 e R$16.131.779,00.;1;Renda
19.872.887/0001-36;2020-06-30;1;Centro Universitário UNA - UNA;Rua dos Aimorés, nº 1451-A, Lourdes, Belo Horizonte/MG  CEP: 30.140-072;10059.61;1;Matrícula nº 3043, do 2º Ofício de Registro de Imóveis de Belo Horizonte - Minas Gerais. O imóvel está cadastrado na Prefeitura Municipal de BH com a Classificação Fiscal nº 13.001.19.0004866 e 13.001.19.0558605 e Identificação nº  004015020001-8 e 0040150200026, tendo-lhes sido atribuído no exercício de 2019 o valor venal de R$506.767,00 e R$16.131.779,00.;1;Renda
19.872.887/0001-36;2020-09-30;1;Escola Parque;Rua Pedra de Itaúna nº 111, Rio de Janeiro/RJ, CEP 22.793-390;8982.81;1;Matrícula nº 132.954, do 9º Ofício de Registro de Imóveis de Rio de Janeiro - Rio de Janeiro.;1;Renda
20.118.470/0001-61;2020-12-31;1;BH OUTLET;Rod BR 356, 7.515, Belo Horizonte/MG;24383.86;7;Matrículas: 73.217, 73.219, 73.220, 73.221, 73.222, 73.223, 73.224 e 73.226;0.5001;Renda
20.118.470/0001-61;2020-12-31;1;GUARULHOS OUTLET;Rodovia Presidente Dutra, KM 395, Guarulhos/SP;13945.87;1;Matrícula: 55.147;0.5;Renda
20.748.515/0001-81;2020-12-31;3;Bresco Bahia G100;Rod. BA-535. km 23, Lauro de Freitas - BA;38141.97;1;Galpão Logístico;1;Renda
21.408.063/0001-51;2020-06-30;2;Edíficio Mario Garneiro Torre Sul;Av. Brigadeiro Faria Lima nº 1.461,  Pinheiros, São Paulo/SP;726;4;São Paulo;0.034720123761834;Renda
21.408.063/0001-51;2020-06-30;2;Edíficio Pravda;Alameda Grajaú, nº 98 - Alphaville Industrial, Barueri/SP;502;1;São Paulo;0.0154592029077103;Renda
21.408.063/0001-51;2020-12-31;1;Edíficio Mario Garneiro Torre Sul;Rua Da Consolação, 2320/2322 - Consolação - São Paulo - SP;1633.41;5;Direito de propriedade;0.026769;Renda
21.408.063/0001-51;2020-12-31;1;Edíficio River One;Rua Gerivativa, esquina com a Rua Pirajussara, nºs 71, 87 e 95 - Pinheiros - São Paulo - SP;23625.14;1;Direito de propriedade;0.57443;Renda
22.103.617/0001-75;2020-06-30;1;Perimetral;Avenida Perimetral Norte - Goiânia - GO;6782.6;1;Galpão Logístico, com área total onstruída de 6782,60 metros quadrados;0.5;Renda
22.646.161/0001-90;2020-03-31;1;Cond. Concept Living Boutique - Apto 201;Rua Pinheiro Guimarães, 49 - Botafogo - Rio de Janeiro - RJ;75.55;1;;1;Venda
22.646.161/0001-90;2020-03-31;1;Cond. Concept Living Boutique - Apto 403;Rua Pinheiro Guimarães, 49 - Botafogo - Rio de Janeiro - RJ;92.61;1;;1;Venda
22.646.161/0001-90;2020-03-31;1;Cond. Concept Living Boutique - Apto 503;Rua Pinheiro Guimarães, 49 - Botafogo - Rio de Janeiro - RJ;98.28;1;;1;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 11B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 11C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 12A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 12C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 13A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 14A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 14B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 14C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 15A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 16A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 16B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 16C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 21B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 21C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 22A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 22B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 23A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 23B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 24A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 24B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 24C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 25A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 25B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 25C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 26B;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 26C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;47.43;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 31A;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
22.646.161/0001-90;2020-12-31;1;Família Freguesia do Ó - 31C;Rua Jacaré Copaiba nº 30, Vila Clymene - São Paulo;52.66;1;;;Venda
