CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;CONTABILIDADE;0.06;0.004
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;FINANCEIRO;0.083;0.006
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;LOGISTICA;0.203;0.015
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;TELECOMUNICAÇÃO;0.045;0.003
01.235.622/0001-61;2020-09-30;2;Cardeal Leme;TI;0.211;0.016
01.235.622/0001-61;2020-09-30;2;Carioca;COMÉRCIO;1;0.023623
01.235.622/0001-61;2020-09-30;2;CESBOM;ENSINO;1;0.058531
01.235.622/0001-61;2020-09-30;2;Citta America;ACADEMIA;0.976;0.149
01.235.622/0001-61;2020-09-30;2;Citta America;COMÉRCIO;0.024;0.004
01.235.622/0001-61;2020-09-30;2;Citta Office;MIDIA;1;0.058327
01.235.622/0001-61;2020-09-30;2;Conde de Bonfim,149;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Dom Gerado 46;COMÉRCIO;0.053;0.003
01.235.622/0001-61;2020-09-30;2;Dom Gerado 46;ENGENHARIA;0.169;0.009
01.235.622/0001-61;2020-09-30;2;Dom Gerado 46;GOVERNO;0.581;0.03
01.235.622/0001-61;2020-09-30;2;Dom Gerado 46;LOGÍSTICA;0.198;0.01
01.235.622/0001-61;2020-09-30;2;Golden Corporate;AUDITORIA;0.327;0.015
01.235.622/0001-61;2020-09-30;2;Golden Corporate;ENGENHARIA;0.333;0.015
01.235.622/0001-61;2020-09-30;2;Golden Corporate;SEGURO;0.34;0.016
01.235.622/0001-61;2020-09-30;2;Largo de Santa Rita;SELF STORE;1;0.007138
01.235.622/0001-61;2020-09-30;2;Marechal Camara;TI;1;0.019528
01.235.622/0001-61;2020-09-30;2;Presidente Antonio Carlos;FINANCEIRO;1;0.00363
01.235.622/0001-61;2020-09-30;2;Primeiro de Março;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Rio Branco 45;ADVOCACIA;1;0.00929
01.235.622/0001-61;2020-09-30;2;Senhor dos Passos 107;COMÉRCIO;1;0.004486
01.235.622/0001-61;2020-09-30;2;Sete de Setembro;COMÉRCIO;1;0.006603
01.235.622/0001-61;2020-09-30;2;Teofilo Otoni 24;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Travessa do Ouvidor;COMÉRCIO;1;0.010333
01.235.622/0001-61;2020-09-30;2;Uruguaiana, 76;COMÉRCIO;1;0.006118
01.235.622/0001-61;2020-09-30;2;Uruguaiana, 78;COMÉRCIO;1;0.010979
01.235.622/0001-61;2020-09-30;2;Visconde de Inhauma;HOTELARIA;1;0.141199
01.235.622/0001-61;2020-09-30;2;Metropolitan;HOSPITALAR;1;0.267436
01.235.622/0001-61;2020-09-30;2;Orbit;ESTACIONAMENTO;1;0.00514
01.235.622/0001-61;2020-09-30;2;Dom Gerardo 40/42;N/A;0;0
01.235.622/0001-61;2020-09-30;2;São Pedro da Aldeia;ÁGUA E ESGOTO;1;0.01501
01.235.622/0001-61;2020-09-30;2;Esquina 98;N/A;0;0
01.235.622/0001-61;2020-09-30;2;Rainha Guilhermina;FINANCEIRO;1;0.025519
01.235.622/0001-61;2020-12-31;1;Barão de Mesquita;ENSINO;0;2.4E-05
01.235.622/0001-61;2020-12-31;1;Cardeal Leme;TI;0.228015;0.017065
01.235.622/0001-61;2020-12-31;1;Cardeal Leme;CONSULTORIA;0.175263;0.013117
01.235.622/0001-61;2020-12-31;1;Cardeal Leme;COMERCIO;0.153625;0.011497
01.235.622/0001-61;2020-12-31;1;Cardeal Leme;LOGÍSTICA;0.140922;0.010547
01.235.622/0001-61;2020-12-31;1;Carioca;FINANCEIRO;0.562615;0.032844
01.235.622/0001-61;2020-12-31;1;Carioca;COMERCIO;0.437385;0.025533
01.235.622/0001-61;2020-12-31;1;CESBOM;ENSINO;0;0.0006326
01.235.622/0001-61;2020-12-31;1;Citta America;COMERCIO;0;3.94E-05
01.235.622/0001-61;2020-12-31;1;Citta Office;MIDIA;0;0.0006304
01.235.622/0001-61;2020-12-31;1;Dom Gerado 46;GOVERNO;0.699061;0.032403
01.235.622/0001-61;2020-12-31;1;Dom Gerado 46;LOGISTICA;0.237776;0.011021
01.235.622/0001-61;2020-12-31;1;Dom Gerado 46;COMERCIO;0.063163;0.002928
01.235.622/0001-61;2020-12-31;1;Golden Corporate;SEGUROS;0.509051;0.016874
01.235.622/0001-61;2020-12-31;1;Golden Corporate;AUDITORIA;0.490949;0.016274
01.235.622/0001-61;2020-12-31;1;Largo de Santa Rita;SELF STORE;0;0
01.235.622/0001-61;2020-12-31;1;Marechal Camara;TI;0;0.000211
01.235.622/0001-61;2020-12-31;1;Presidente Antonio Carlos;FINANCEIRO;0;3.92E-05
01.235.622/0001-61;2020-12-31;1;Rio Branco 45;ADVOCACIA;0;0.0001004
01.235.622/0001-61;2020-12-31;1;Senhor dos Passos 107;COMERCIO;0;4.84E-05
01.235.622/0001-61;2020-12-31;1;Sete de Setembro;COMERCIO;0;7.13E-05
01.235.622/0001-61;2020-12-31;1;Travessa do Ouvidor;COMERCIO;0;0.0001116
01.235.622/0001-61;2020-12-31;1;Uruguaiana, 76;COMERCIO;0;6.61E-05
01.235.622/0001-61;2020-12-31;1;Uruguaiana, 78;COMERCIO;0;0.0001186
01.235.622/0001-61;2020-12-31;1;Visconde de Inhauma;HOTELARIA;0;0.0015261
01.235.622/0001-61;2020-12-31;1;Metropolitan;HOSPITALAR;0;0.0028905
01.235.622/0001-61;2020-12-31;1;Orbit;ESTACIONAMENTO;0;5.55E-05
01.235.622/0001-61;2020-12-31;1;Dom Gerardo 40/42;MIDIA;0;0.0002627
01.235.622/0001-61;2020-12-31;1;São Pedro da Aldeia;ÁGUA E ESGOTO;0;0.0001522
01.235.622/0001-61;2020-12-31;1;Rainha Guilhermina;FINANCEIRO;0;0.0002625
01.235.622/0001-61;2020-12-31;1;Itumbiara - Fase 1;ENSINO;0;0.00032
01.235.622/0001-61;2020-12-31;1;Itabira;ENSINO;0;0.0002994
01.497.954/0001-14;2020-03-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Edifício Rio Guaiba;Clínica Médica;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Edifício Mostardeiro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-03-31;1;Prédio Dom Pedro;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-03-31;1;Conjunto Voluntários;Sala Comercial;0.1;0.22
01.497.954/0001-14;2020-03-31;1;Prédio Carlos Gomes;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
01.497.954/0001-14;2020-06-30;1;Praça Montivideo;Sala Comercial;0.1;0.25
