CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
19.722.048/0001-31;2019-06-30;2;JAU 88 - 43;Alameda Jaú, nº 88, apto. nº 43;191.28;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;BC 2316 - 102;Rua Bela Cintra, nº 2316, apto 102;152.89;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;SAR 381 - 52;Alameda Sarutaiá, n° 381, 52;155.29;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;JEL 747 - 91;Alameda Joaquim Eugênio de Lima, nº 747 - apto. 91;178.45;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;CON 3240 - 83;Rua da Consolação, nº 3240;151.25;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;OBR 54 - 102;Rua Ouro Branco, nº 54 - apto 102;120.03;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;JEL 747 - 112;Alameda Joaquim Eugênio de Lima, nº 747 - apto. 112;163.02;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;GUA 153 - 75;Rua Guarará, nº 153 - apto 75;166.56;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;CPF 95 - 114;Rua Capitão Pinto Ferreira, nº 85 - apto 114;151.1843;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;CPF 65 - 121;Rua Capitão Pinto Ferreira, nº 65 - apto 121;166.76;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;FR 917 - 51;Alameda Franca, nº 917 - apto 51;95.52;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;JML 284 - 21;Rua José Maria Lisboa, nº 284 - apto 21;149.77;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;DMA - 265 72;Rua Dr. Melo Alves, n° 265 - apto 72;110;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;MRA - 644 51;Alameda Ministro Rocha Azevedo 976 ap. 114;117.664;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;CON - 2801 34;Rua da Consoldação, nº 2801 - apto 304;118.86;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;BAT 263 - 112;Rua Batataes, nº 263 - apto 112;167.27;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;ITA 97 - 62;Rua Itacema 97 ap. 62;282.32;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-06-30;2;HL 999 /997 42;Rua Haddock Lobo, nº 997, apto 42Al. Casa Branca, nº 605, apto 502;165;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JAU 712 41;Al. Jaú, 712 - apto 41;119;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BB 444 13;Rua Bueno Brandão 444 - apto 13;94;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ITU 745 41;Al. Itu, 745 - apto 41;172;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JEL 1601 43;Al. Joaquim Eugênio de Lima, 1601 - apto 43;130;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ITU 1209 102;Al. Itu, 1209 - apto 102;103;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JAU 731 - 111;Al. Jaú, 712 - apto 111;141;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FC 173 - 31;Al. Fernão Cardim, 173 - apto 31;100;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;TAB 266 - 81;Rua Tabapuã 266 - apto 81;165;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CAC 74 82;Rua Caconde, 74 - apto 82;100;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BC 1642 - 111;Rua Bela Cintra, 1642 - apto 111;113;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BV - 473 152;Rua Balthazar da Veiga, 473 - apto 152;154;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;MRA 976 - 94;Al. Ministro Rocha Azevedo, 976 - apto 94;127;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;URI 77 81;Rua Urimomduba, 77 - apto 81;118;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;TAT 95 21;Rua Tatuí, 95 - apto 21;164;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FC 320 61;Al. Fernão Cardim, 320 - apto 61;177;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FR 435 111;Al. Franca, 435 - apto 111;131;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JAU 731 - 41;Al. Jaú, 731 - apto 41;141;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JL 713 121;Rua João Lourenço, 713 - apto 121;161;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;IN 532 31;Rua Inhambu, 532 - apto 31;113;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ITA 323 122;Rua Itacema, 323/313 - apto 122;83;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JAU 588 101;Al. Jaú, 588 - apto 101;150;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;TAB 1666 - 42;Rua Tabapuã, 1666 - apto 42;161;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FR 74 52;Al. Franca, 74 - apto 52;100;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;LO 853 22A;Al. Lorena, 853 - apto 22A;115;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ML 105 64;Rua Marcos Lopes, 105 - apto 64;84;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JF 408 11;Rua Jacques Félix, 408 - apto 11;128;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;PED 401 62;Rua Pedroso Alvarenga, 401 - apto 62;108;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FR 1277 132;Al. Franca, 1277 - apto 132;174;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CON 3064 251 A;Rua da Consolação, 3064 - apto 251;115;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JF 408 122;Rua Jacques Félix, 408 - apto 122;128;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BV 473 71;Rua Balthazar da Veiga, 473 - apto 71;154;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BB 435 81;Rua Bueno Brandão 435 - apto 81;102;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CB 605 802;Al. Casa Branca, 605 - apto 802;179;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CON 3630 - 81;Rua da Consolação, 3630 - apto 81;138;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;BAT 453 21;Rua Batataes, 453 - apto 21;175;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CB 438 92;Al. Casa Branca, 438 - apto 92;118;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JML 1377 92;Rua José Maria Lisboa, 1377 - apto 92;108;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;JF 586 181;Rua Jacques Félix, 586 - apto 181;158;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;FR 435 - 101;Al. Franca, 435 - apto 101;131;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;CR 88 24;Rua Cravinhos, 88 - apto 24;85;1;Apartamento residencial pronto para venda;;Venda
19.722.048/0001-31;2019-09-30;1;ITA 198 81;Rua Itacema, 198 - apto 81;105;1;Apartamento residencial pronto para venda;;Venda
