CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
29.641.226/0001-53;2022-06-30;1;Pernambucanas Francisco Beltrão;Av. Julio A. Cavalheiro, 655, Francisco Beltrão, PR;2022-06-30;1336.35;1;-;0.002402;0.002465
29.641.226/0001-53;2022-06-30;1;Pernambucanas Garça;Rua Carlos Ferrari, 222/226, e Praça Rui Barbosa, 373, Garça, SP;2022-06-30;373.75;1;-;0.000734;0.000754
29.641.226/0001-53;2022-09-30;1;Pernambucanas Videira;R. Saul Brandalise, 180, Videira, SC;2022-07-11;922.04;1;-;0.0016;0.001677
29.641.226/0001-53;2022-09-30;1;Pernambucanas Sete De Setembro;R. Sete De Setembro, 180/184, São José Dos Campos, SP;2022-07-22;1649.58;1;-;0.004228;0.004434
29.641.226/0001-53;2022-09-30;1;Pernambucanas Pato Branco;Av. Tupi, 2425, Pato Branco, PR;2022-09-01;1650.55;1;-;0.003289;0.003405
29.641.226/0001-53;2022-09-30;1;Pernambucanas Mogi Das Cruzes;R. Dr. Deodato Wertheimer, 1350, Mogi das Cruzes, SP;2022-09-01;1081;1;-;0.003355;0.003473
29.641.226/0001-53;2022-09-30;1;Pernambucanas Votuporanga;R. Amazonas, 3395, Votuporanga, SP;2022-09-02;1412.94;1;-;0.003333;0.003451
29.641.226/0001-53;2022-09-30;1;Pernambucanas Ourinhos;Praça Melo Peixoto, 130, Ourinhos, SP;2022-09-15;954;1;-;0.002406;0.002491
29.641.226/0001-53;2022-09-30;1;Pernambucanas Lapa;R. Barão Do Rio Branco, 1444, Lapa, PR;2022-09-21;1453.52;1;-;0.001876;0.001943
29.641.226/0001-53;2022-12-31;1;Pernambucanas Alfenas;Praça Getúlio Vargas,250, Alfenas,MG;2022-10-26;1645.29;1;-;0.003514;0.003577
29.641.226/0001-53;2022-12-31;1;Pernambucanas Monte Alto;R. Nhonho Livramento, 1660, Monte Alto, SP;2022-11-08;952.15;1;-;0.002549;0.002594
29.641.226/0001-53;2022-12-31;1;Pernambucanas Assis Chateaubriand;Av. Tupassi, Esq. R. Valo do Piqueri, S/N, Assis Chateaubriand, PR;2022-12-22;1004.62;1;-;0.001449;0.001472
29.641.226/0001-53;2022-12-31;1;Pernambucanas Taubaté;R. Bispo Rodovalho,88 e 100, Taubaté,SP;2022-12-26;1321.85;1;-;0.002897;0.002943
30.048.651/0001-12;2022-09-30;1;Edifício Icon Faria Lima;Avenida Brigadeiro Faria Lima, 3311, Itaim Bibi, São Paulo - SP;2022-07-25;450;1;Imóvel acabado para renda.;0.0509;0.0407
30.492.505/0001-81;2022-12-31;1;Prédio de Escritórios;Largo dos Leões, nº 15 - Humaitá - Rio de Janeiro - RJ;2022-11-11;9709;1;Prédio e respectivo terreno que mede 39,00m de frente pela Rua Conde de Irajá 26,00m do lado oposto pelo Largo dos Leões, por onde também faz testada 39,80m à direita, confrontando com os prédios números 443, da Rua São Clemente, de quem de direito e 90 da Rua Conde de Irajá 11,45m à esquerda.  Matrícula 5356 do 3º Ofício de Registro de Imóveis do Rio de Janeiro - RJ. Cadastrado pela Pref. do Município do Rio de Janeiro, pela inscrição nº 0.146.639-0;0.280213;0.185417
30.492.505/0001-81;2022-12-31;1;Imóvel Rua do Equador 274;Rua do Equador, nº 274 - Bairro Santo Cristo - Rio de Janeiro - RJ;2022-12-08;1376.7;1;O compromisso de venda e compra com cláusulas resolutivas foi firmado em 01/09/2022. O termo de superação das resolutivas foi assinado 08/12/22. No campo "data da alienação" foi considerada a data do termo de superação das cláusulas resolutivas.;0.092359;0.04366
30.492.505/0001-81;2022-12-31;1;Imóvel Rua do Equador 196;Rua do Equador nº 196 -  Bairro Santo Cristo - Rio de Janeiro - RJ;2022-12-08;7196.4;1;O compromisso de venda e compra com cláusulas resolutivas foi firmado em 01/09/2022. O termo de superação das resolutivas foi assinado 08/12/22. No campo "data da alienação" foi considerada a data do termo de superação das cláusulas resolutivas.;0.682277;0.322521
30.492.505/0001-81;2022-12-31;1;Imóvel Av.Rodrigues Alves;Avenida Rodrigues Alves, 837/843, quadra 39;2022-12-08;2140;1;O compromisso de venda e compra com cláusulas resolutivas foi firmado em 01/09/2022. O termo de superação das resolutivas foi assinado 08/12/22. No campo "data da alienação" foi considerada a data do termo de superação das cláusulas resolutivas.;0.225364;0.106533
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 1;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2243.97;1;14620;0.0193648959123527;0.0193648959123527
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 2;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2243.97;1;14621;0.0193648959123527;0.0193648959123527
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 3;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2243.97;1;14622;0.0193648959123527;0.0193648959123527
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 4;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2322.3;1;14623;0.0192046279765936;0.0192046279765936
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 5;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2322.3;1;14624;0.0192046279765936;0.0192046279765936
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 6;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2127.75;1;14625;0.0115080536262838;0.0115080536262838
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 7;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2127.75;1;14626;0.0115080536262838;0.0115080536262838
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 8;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2127.75;1;14627;0.0115080536262838;0.0115080536262838
30.495.165/0001-42;2022-09-30;1;MM1  G02 - 9;Rodovia BR-101 Sul, nº 5225, Lote 004B, Ditrito de Ponte dos Carvalhos, Município de Cabo de Santo Agostinho, Pernambuco, CEP 54503-900;2022-07-01;2127.75;1;14628;0.0115080536262838;0.0115080536262838
31.469.385/0001-64;2022-03-31;1;WALTER ALVES FILHO;ESTRADA DA BARRA 315 - APTO 302 - BL 02;2022-03-24;182;1;n/a;;
32.655.589/0001-52;2022-03-31;1;DOTO_201;Rua Barão Geraldo de Resende, 97, Sala 201 Guanabara, Campinas - SP;2022-02-24;40.17;1;Nenhuma caracteristica relevante.;0.001806;0.004646
32.655.589/0001-52;2022-03-31;1;DOTO_306;Rua Barão Geraldo de Resende, 97, Sala 306 Guanabara, Campinas - SP;2022-01-17;41.08;1;Nenhuma caracteristica relevante.;0.00074;0.004646
32.655.589/0001-52;2022-03-31;1;NYT_09;Avenida Brasilia nº 2121, Loja 9 - Vila São Paulo, Araçatuba-SP;2022-03-28;114.82;1;Não possui características relevantes;0.005063;0.014902
32.655.589/0001-52;2022-03-31;1;EB_1008;Avenida São Rafael, nº 1.405, 10º Andar, Sala 1008 - São Marcos, Salvador-BA;2022-01-19;29.96;1;Nenhuma característica relevante;0.000434;0.002725
32.655.589/0001-52;2022-03-31;1;NYT_405;Avenida Brasilia nº 2121, Sala 405 - Vila São Paulo, Araçatuba-SP;2022-01-24;43.87;1;Não possui características relevantes;0.000961;0.006035
32.655.589/0001-52;2022-03-31;1;NYT_702;Avenida Brasilia nº 2121, Sala 702 - Vila São Paulo, Araçatuba-SP;2022-01-12;42.74;1;Não possui características relevantes;0.001564;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_703;Avenida Brasilia nº 2121, Sala 703 - Vila São Paulo, Araçatuba-SP;2022-01-07;42.74;1;Não possui características relevantes;0.001045;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_706;Avenida Brasilia nº 2121, Sala 706 - Vila São Paulo, Araçatuba-SP;2022-03-22;43.87;1;Não possui características relevantes;0.000961;0.006035
32.655.589/0001-52;2022-03-31;1;NYT_707;Avenida Brasilia nº 2121, Sala 707 - Vila São Paulo, Araçatuba-SP;2022-03-22;42.74;1;Não possui características relevantes;0.000936;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_708;Avenida Brasilia nº 2121, Sala 708 - Vila São Paulo, Araçatuba-SP;2022-03-22;42.74;1;Não possui características relevantes;0.000936;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_709;Avenida Brasilia nº 2121, Sala 709 - Vila São Paulo, Araçatuba-SP;2022-03-22;44.98;1;Não possui características relevantes;0.001771;0.006188
32.655.589/0001-52;2022-03-31;1;NYT_804;Avenida Brasilia nº 2121, Sala 804 - Vila São Paulo, Araçatuba-SP;2022-03-29;42.74;1;Não possui características relevantes;0.000936;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_805;Avenida Brasilia nº 2121, Sala 805 - Vila São Paulo, Araçatuba-SP;2022-03-29;43.87;1;Não possui características relevantes;0.00147;0.006035
32.655.589/0001-52;2022-03-31;1;NYT_806;Avenida Brasilia nº 2121, Sala 806 - Vila São Paulo, Araçatuba-SP;2022-02-07;43.87;1;Não possui características relevantes;0.000961;0.006035
32.655.589/0001-52;2022-03-31;1;NYT_807;Avenida Brasilia nº 2121, Sala 807 - Vila São Paulo, Araçatuba-SP;2022-01-04;42.74;1;Não possui características relevantes;0.000936;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_808;Avenida Brasilia nº 2121, Sala 808 - Vila São Paulo, Araçatuba-SP;2022-01-14;42.74;1;Não possui características relevantes;0.002061;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_903;Avenida Brasilia nº 2121, Sala 903 - Vila São Paulo, Araçatuba-SP;2022-03-30;42.74;1;Não possui características relevantes;0.001114;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_916;Avenida Brasilia nº 2121, Sala 916 - Vila São Paulo, Araçatuba-SP;2022-01-12;53.03;1;Não possui características relevantes;0.003205;0.007295
32.655.589/0001-52;2022-03-31;1;NYT_1003;Avenida Brasilia nº 2121, Sala 1003 - Vila São Paulo, Araçatuba-SP;2022-01-19;42.74;1;Não possui características relevantes;0.00235;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_1006;Avenida Brasilia nº 2121, Sala 1006 - Vila São Paulo, Araçatuba-SP;2022-03-22;43.87;1;Não possui características relevantes;0.000961;0.006035
32.655.589/0001-52;2022-03-31;1;NYT_1007;Avenida Brasilia nº 2121, Sala 1007 - Vila São Paulo, Araçatuba-SP;2022-03-22;42.74;1;Não possui características relevantes;0.001608;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_1202;Avenida Brasilia nº 2121, Sala 1202 - Vila São Paulo, Araçatuba-SP;2022-01-14;42.74;1;Não possui características relevantes;0.003616;0.00588
32.655.589/0001-52;2022-03-31;1;NYT_1209;Avenida Brasilia nº 2121, Sala 1209 - Vila São Paulo, Araçatuba-SP;2022-01-19;44.98;1;Não possui características relevantes;0.002012;0.00623
32.655.589/0001-52;2022-03-31;1;NYT_508;Avenida Brasilia nº 2121, Sala 508 - Vila São Paulo, Araçatuba-SP;2022-02-22;42.74;1;Não possui características relevantes;0.000936;0.00588
32.655.589/0001-52;2022-03-31;1;AL_810C;Rua Bernardo Giumarães, 105 Sala 810- Vila Boa Vista, Sorocaba-SP;2022-01-20;44.59;1;Nenhuma caracteristica relevante.;0.000771;0.003997
32.655.589/0001-52;2022-03-31;1;AL_183BV;Rua Bernardo Giumarães, 105 Vaga 183- Vila Boa Vista, Sorocaba-SP;2022-01-20;10.35;1;Nenhuma caracteristica relevante.;3.6E-05;2.6E-05
32.655.589/0001-52;2022-03-31;1;1LED711;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 711 - Águas Claras-DF;2022-03-17;39.06;1;Nenhuma característica relevante;0.000662;0.00378
32.655.589/0001-52;2022-03-31;1;1LED712;Lotes nº 34 e 36, Rua 210, QS 1, T1 Unid. 712 - Águas Claras-DF;2022-03-17;39.06;1;Nenhuma característica relevante;0.001496;0.00378
