CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
44.669.674/0001-59;2022-09-30;1;Tatuape 74;352.25;Matricula 174.045;0.104013;0.0181
44.669.674/0001-59;2022-09-30;1;Tatuape 78;352.87;Matricula 88.648;0.104013;0.0181
44.674.528/0001-11;2022-06-30;1;Loteamento Jd Bandeirantes;13793.7;Matrículas nº 6856/7150/7038/6453/7039;0.8612524;0.171
44.674.528/0001-11;2022-06-30;1;Maracanaú - José Holanda e Ana Cristina;2298.5;Matrículas nº 3529/ 3530/ 3528;0.1387475;0.0275
44.674.528/0001-11;2022-09-30;2;Av Perimetral, Canindé - CE;11200;Matrícula nº 918;0.052726;0.0454
44.674.528/0001-11;2022-09-30;2;Quadra 01 do Loteamento "Sítio Tangueira", Maranguape - CE;21945.8;Matrícula nº 19092;0.061132;0.0526
44.674.528/0001-11;2022-09-30;2;R. Dr. Antonio Pinto de Mendonça, Quixeramobim - CE;20000;Matrícula nº 7382;0.536074;0.4612
44.674.528/0001-11;2022-12-31;2;Vila Buiu, Aracati - CE;20000;Matrícula nº 7948;0.067947;0.0611
47.102.860/0001-08;2022-12-31;1;Rodovia Norte Sul, N 243 (Serra - ES);24831;Terreno destinado à construção da Unidade Avançada da Serra. Contrato de Construção pela modalidade de Empreitada Global com a Construtora Baggio e Gerenciamento pela PGMAK. Contrato de Built-to-Suit - BTS com prazo de 20 anos, renovável por igual período.;1;0.429546
48.955.582/0001-96;2022-12-31;1;KM 52 da Rodovia Fernão Dias, Bairro do Portão, Área Urbana 1.;23252.8;Um terreno situado na área urbuna 1do município;0.04;
48.955.582/0001-96;2022-12-31;1;Margem direira da Rodovia Cuiabá, Rondonópolis, Cuiabá/MT.;8640;São terrenos dividido em 02 áreas sendo a primeira de 1889,4 metros quadrados e a segunda 6750,60 metros quadrados;0.16;
48.955.582/0001-96;2022-12-31;1;Estrada Martin Felix Berta, Porto Alegre - RS;209286;É terreno de forma irregular situado na Estrada Martin Felix Berta;0.63;
48.955.582/0001-96;2022-12-31;1;Distrito Industrial e Comercial, Cuiabá/ MT.;25200;É uma area de terrasde 25200,00 metros quadrados no Distritro industrial e comercial;0.17;
