CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
,2019-12-31,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
,2019-06-30,1,,1899-12-31,0.0,,0.0,0.0,30.791.386/0001-68
,2019-09-30,1,,1899-12-31,0.0,,0.0,0.0,30.791.386/0001-68
,2019-12-31,2,,1899-12-31,0.0,,0.0,0.0,30.791.386/0001-68
,2017-09-29,2,"Rua México nº 74, Centro, Rio de Janeiro",2017-08-21,420.59,Prédio Comercial,2.1e-05,0.0202,01.235.622/0001-61
,2017-03-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2017-06-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2017-09-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2017-12-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2017-03-31,1,"Marilia/SP Lote 12 Quadra P, Rua 04",2017-02-16,300.0,,1.0,,14.665.312/0001-29
,2017-12-31,3,Não aplicável,1899-12-31,0.0,Não aplicável,0.0,0.0,28.152.272/0001-26
,2016-12-31,1,não aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2016-12-31,1,Estrada da Gavea 700,2016-11-30,578.0,Não Aplicável,0.062408,0.056617,14.056.001/0001-62
,2016-12-31,1,Estrada da Gávea 708,2016-11-30,1344.0,Não Aplicável,0.109506,0.099345,14.056.001/0001-62
,2016-12-31,1,"Rua Godoy Colaço, 575 e 597 e Rua Bartolomeu Feio, 766, 774, 778, 784, 790 e 798",2016-11-12,2020.79,"Alienado através de Instrumento Particular de Compromisso de Venda e Compra, pelo valor de R$27.985.486,57, a ser pago em 12 parcelas, corrigidas pelo CDI, acrescido de 0,23% a.m. A venda é parte da estrutura inicial pretendida, na qual o Fundo prometeu permutar o terreno com a incorporadora para que esta construísse empreendimento e entregasse unidades autônomas prontas e desimpedidas. O prazo de 36 meses para o lançamento expirou e o Fundo optou por alienar o terreno. A escritura definitiva será lavrada na quitação da última parcela.",0.2141,0.204,17.209.378/0001-00
,2018-03-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2018-06-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2018-09-30,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2018-12-31,1,Não Aplicavel,1899-12-31,0.0,,0.0,0.0,07.583.627/0001-61
,2018-03-31,2,Não aplicável,1899-12-31,0.0,Não aplicável,0.0,0.0,28.152.272/0001-26
,2018-06-30,1,,1899-12-31,0.0,,0.0,0.0,28.152.272/0001-26
,2018-03-31,1,Não aplicável,1899-12-31,0.0,Não aplicável,0.0,0.0,28.516.650/0001-03
,2018-06-30,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2018-09-30,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2018-12-31,1,,1899-12-31,0.0,,0.0,0.0,28.516.650/0001-03
,2018-03-31,1,Não Aplicavel,1899-12-31,0.0,Não Aplicavel,0.0,0.0,28.693.595/0001-27
,2018-06-30,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
,2018-09-30,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
,2018-12-31,1,,1899-12-31,0.0,,0.0,0.0,28.693.595/0001-27
