CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 12 - LOTE 19 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 12 - LOTE 22 -JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,435.2,QUADRA 12 - LOTE 25 - JD. DAS MACAUBAS,0.0138304624288478,0.0084757399837946,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 12 - LOTE 4 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 12 - LOTE 5 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,414.8,QUADRA 12 - LOTE 8 - JD. DAS MACAUBAS,0.0131821595024956,0.0080784396720542,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,425.0,QUADRA 12 - LOTE 9 - JD. DAS MACAUBAS,0.0135063109656717,0.0082770898279244,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,411.11,QUADRA 13 - LOTE 1 - JD. DAS MACAUBAS,0.0130648929437584,0.0080065750568423,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,1681.03,QUADRA 13 - LOTE 10 - JD. DAS MACAUBAS,0.0534223857002898,0.0327389089727902,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,419.44,QUADRA 13 - LOTE 11 - JD. DAS MACAUBAS,0.0133296166386855,0.0081688060174697,
