CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Outras_Caracteristicas_Relevantes,Area,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
04.782.236/0001-88,2023-09-30,1,"Av. Santos Dumont,  - Joinville - SC",,1350.0,0.00726,0.0,
05.437.916/0001-27,2023-03-31,1,"Rodovia Anhanguera, s/n km 17,5",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,61543.5,0.717347,0.0,
05.437.916/0001-27,2023-03-31,1,"Rua Sargento Aquino, 136",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.078725,0.0,
05.437.916/0001-27,2023-03-31,1,"Rua Comandante Vergueiro da Cruz, 206",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.095311,0.0,
05.437.916/0001-27,2023-03-31,1,"Av. Interlagos, 4455",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6305.75,0.108617,0.0,
05.437.916/0001-27,2023-06-30,1,"Rodovia Anhanguera, s/n km 17,5",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,61543.5,0.717347,0.0,
05.437.916/0001-27,2023-06-30,1,"Rua Sargento Aquino, 136",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.078725,0.0,
05.437.916/0001-27,2023-06-30,1,"Rua Comandante Vergueiro da Cruz, 206",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.095311,0.0,
05.437.916/0001-27,2023-06-30,1,"Av. Interlagos, 4455",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6305.75,0.108617,0.0,
05.437.916/0001-27,2023-09-30,1,"Rodovia Anhanguera, s/n km 17,5",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,61543.5,0.717347,0.0,
05.437.916/0001-27,2023-09-30,1,"Rua Sargento Aquino, 136",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.078725,0.0,
05.437.916/0001-27,2023-09-30,1,"Rua Comandante Vergueiro da Cruz, 206",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.095311,0.0,
05.437.916/0001-27,2023-09-30,1,"Av. Interlagos, 4455",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6305.75,0.108617,0.0,
05.437.916/0001-27,2023-12-31,1,"Rodovia Anhanguera, s/n km 17,5",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,61543.5,0.717347,0.0,
05.437.916/0001-27,2023-12-31,1,"Rua Sargento Aquino, 136",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.078725,0.0,
05.437.916/0001-27,2023-12-31,1,"Rua Comandante Vergueiro da Cruz, 206",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6172.5,0.095311,0.0,
05.437.916/0001-27,2023-12-31,1,"Av. Interlagos, 4455",Fundo legítmo proprietário do imóvel conforme matrícula e contrato de compra e venda. Os imóveis não possuem ônus reais bem como qualquer garantia e não foram adquiridos em regime de condomínio. Todas as construções estão concluídas.,6305.75,0.108617,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Das Indústrias, 1587, Bairro São João, Porto Alegre-RS. Quadra A, lote 1 ao 5 e Quadras B ao G, lotes 1.",Nenhuma,272389.28,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Veríssimo de Amaral, 320, Bairro Passo d'Areia, Porto Alegre-RS. Quadra G.",Nenhuma,22269.82,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Rua Antônio Carlos Berta, 345, Bairro Boa Vista, Porto Alegre-RS. Quadra G.",Nenhuma,16837.79,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Veríssimo de Amaral, 50, Bairro Passo d'Areia, Porto Alegre-RS. Quadra I.",Nenhuma,9068.73,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Senador Tarso Dutra, 735, Bairro Petropolis, Porto Alegre-RS. Quadra C, lote 1.",Nenhuma,16618.56,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Senador Tarso Dutra, 495, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 1A.",Nenhuma,2216.43,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Mário Leitão, 150, Bairro Petropolis, Porto Alegre-RS. Quadra H, lote 3A.",Nenhuma,6034.29,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Veríssimo do Amaral, 37 , Bairro Passo d'Areia, Porto Alegre-RS. Quadra 154, lote 1 ao 3.",Nenhuma,1153.19,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Dr. Nilo Peçanha, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 154 , lotes do 14 ao 22.",Nenhuma,4513.65,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Rua Cel Genes Bento, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 23 ao 27.",Nenhuma,2783.22,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Rua Juncal, 40, 50 e 60, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 28 ao 30.",Nenhuma,1578.24,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Nilo Peçanha, 3410, 3420 e 3430, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 153, lotes 1 ao 12.",Nenhuma,5445.18,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Nilo Peçanha, 3530, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 14, lote 631.",Nenhuma,554.23,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Rua Vinte e Quatro de Maio 368, Vila Rosa, Novo Hamburgo-RS. Lotes A e B.",Nenhuma,13345.19,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Nações Unidas s/n, Vila Rosa, Novo Hamburgo-RS. Lote C.",Nenhuma,31744.81,0.0,0.0,
10.456.799/0001-89,2023-03-31,2,"Av. Severo Dullius, 895, Bairro São João, Porto Alegre-RS",Nenhuma,3000.1,0.0,0.0,
