CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Endereco_Imovel,Caracteristicas_Contratuais,CNPJ_Fundo
,2019-03-29,1,BHC - Rua Goitacazes,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,BEI - Shopping Iguatemi Belém,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,OUV - Rua do Ouvidor,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,BEI - Shopping Iguatemi Belém,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,BPB - Pátio Brasil Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,CAC - Rua Treze de Maio,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,NIT - Plaza Shopping Niteroi,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,SLZ - Rua Oswaldo Cruz,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,BHC - Rua Goitacazes,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,SVP - Shopping Piedade,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,TIJ - Rua Conde de Bonfim,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,CBS - Shopping Curitiba,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,SIR - Boulevard Rio Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,SPC - Centro de São Paulo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,DQE - Praça do Pacificador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,COP - GAR,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,FOS - Iguatemi Fortaleza,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,GOI - Goiania Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,BHD - Shopping Del Rey,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,ABC - Shopping ABC,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,Ed. Santa Catarina,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,COP - Av. Nossa Senhora de Copacabana,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,NIG - Avenida Nilo Peçanha,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,VIX - Edifício Trade Center,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,NOR - Norte Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,BHM - Minas Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,REC - Avenida Conde de Boa Vista,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,MCO-Shopp.Center Iguatemi,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,SVB - Shopping Barra,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-06-30,1,EC - Centro Administrativo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Box E - Loja 201 e 301 - Boulevard Rio Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Centro Administrativo - Barueri,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,CondomÍnio Ed. Santa Catarina,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja 1-PA - Pátio Brasil Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja 123 - Plaza Shopping Niterói,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja 186-A - Rio de Janeiro,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja 217 - Shopping Center Iguatemi Maceió,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,FOS - Iguatemi Fortaleza,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja 3-A - Shopping Barra Salvador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,SVP - Shopping Piedade,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Âncora 2 - Shopping Center Curitiba,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Âncora 3 - Shopping ABC,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Âncora C - Shopping Center Iguatemi Maceió,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Âncora D - Minas Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Âncora D - Shopping Center Iguatemi Belém,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Comercial BHC - Belo Horizonte,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Loja Comercial 1 - Edifício Trade Center,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,NIG - Avenida Nilo Peçanha,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,CAC - Rua Treze de Maio,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,DQE - Praça do Pacificador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,REC - Avenida Conde de Boa Vista,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,TIJ - Rua Conde de Bonfim,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,SPC - Centro de São Paulo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,Lojas de Rua - São Luís do Maranhão,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,NOR - Norte Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,"Salão Multiplo Uso 1, 2 e 32 - Goiânia Shopping",Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,BHD - Shopping Del Rey,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,COP - GAR,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-09-30,1,COP - Av. Nossa Senhora de Copacabana,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Box E - Loja 201 e 301 - Boulevard Rio Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Centro Administrativo - Barueri,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,CondomÍnio Ed. Santa Catarina,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja 1-PA - Pátio Brasil Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja 123 - Plaza Shopping Niterói,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja 186-A - Rio de Janeiro,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja 217 - Shopping Center Iguatemi Maceió,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,FOS - Iguatemi Fortaleza,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja 3-A - Shopping Barra Salvador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,SVP - Shopping Piedade,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Âncora 2 - Shopping Center Curitiba,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Âncora 3 - Shopping ABC,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Âncora C - Shopping Center Iguatemi Maceió,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Âncora D - Minas Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Âncora D - Shopping Center Iguatemi Belém,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-12-31,1,Loja Comercial BHC - Belo Horizonte,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
