CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
21.408.063/0001-51;2021-09-30;1;Condomínio Comary;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Edifício Delta Plaza;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Edifício Cerp - Venezuela;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Anima Consolação;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Edíficio River One;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;24° Andar do Edifício Castello Branco;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Edificio Mykonos;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Somos Sistema de Ensino S.A.;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Edíficio Celebration;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Condomínio Comary;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Edifício Delta Plaza;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Edifício Cerp - Venezuela;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Anima Consolação;Conforme itens acima
21.408.063/0001-51;2021-12-31;1;Edíficio River One;Conforme itens acima
21.500.481/0001-74;2021-03-31;1;Edifício Botafogo;Contrato de locação típico, com reajuste anual pelo IPCA.
21.500.481/0001-74;2021-06-30;1;Edifício Botafogo;Contrato de locação típico, com reajuste anual pelo IPCA.
21.500.481/0001-74;2021-09-30;1;Edifício Botafogo;Contrato de locação típico, com reajuste anual pelo IPCA.
21.500.481/0001-74;2021-12-31;1;Edifício Botafogo;Contrato de locação típico, com reajuste anual pelo IPCA.
21.500.500/0001-62;2021-03-31;1;Internacional Shopping;Não possui caracteristicas que destoem dos demais
21.500.500/0001-62;2021-06-30;1;Internacional Shopping;Não possui caracteristicas que destoem dos demais
21.500.500/0001-62;2021-09-30;1;Internacional Shopping;Não possui caracteristicas que destoem dos demais
21.500.500/0001-62;2021-12-31;1;Internacional Shopping;Não possui caracteristicas que destoem dos demais
21.500.514/0001-86;2021-03-31;1;não há;não há
21.500.514/0001-86;2021-06-30;1;não há;não há
21.500.514/0001-86;2021-09-30;1;não há;não há
21.500.514/0001-86;2021-12-31;1;não há;não há
21.917.235/0001-12;2021-03-31;1;West Shopping;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-03-31;1;Shopping Crystal;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-03-31;1;Center Shopping Rio;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-03-31;1;Shopping Paralela;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-06-30;1;West Shopping;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-06-30;1;Shopping Crystal;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-06-30;1;Center Shopping Rio;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-06-30;1;Shopping Paralela;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-09-30;1;West Shopping;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-09-30;1;Shopping Crystal;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-09-30;1;Center Shopping Rio;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-09-30;1;Shopping Paralela;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-12-31;1;West Shopping;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-12-31;1;Shopping Crystal;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-12-31;1;Center Shopping Rio;Conforme item 1.1.2.1.4 deste informe.
21.917.235/0001-12;2021-12-31;1;Shopping Paralela;Conforme item 1.1.2.1.4 deste informe.
22.003.469/0001-17;2021-03-31;1;Imoveis residenciais;Clausulas de reajustes anuais.
22.003.469/0001-17;2021-06-30;2;Imoveis residenciais;Clausulas de reajustes anuais.
22.003.469/0001-17;2021-09-30;1;Imoveis residenciais;Clausulas de reajustes anuais.
22.003.469/0001-17;2021-12-31;2;Imoveis residenciais;Clausulas de reajustes anuais.
22.103.617/0001-75;2021-06-30;1;Não possui informação apresentada.;
22.103.617/0001-75;2021-09-30;1;Não possui informação apresentada.;
22.103.617/0001-75;2021-12-31;1;Não possui informação apresentada.;
22.169.671/0001-13;2021-03-31;1;Itaquera;Conforme item anterior
22.169.671/0001-13;2021-06-30;1;Itaquera;Conforme item anterior
22.169.671/0001-13;2021-09-30;3;Itaquera;Conforme item anterior
22.169.671/0001-13;2021-12-31;1;Itaquera;Conforme item anterior
22.340.978/0001-35;2021-03-31;1;12 OUTUB;Não há
22.340.978/0001-35;2021-03-31;1;ADOL1;Não há
